,PathNumber,ColliderName,Samples,timeDiff,Index,HMD_x,HMD_y,HMD_z,transformed_HMD_x,transformed_HMD_y
0,1,Avatar,11,0.18798303604125974,119,-286.223388671875,1.370119571685791,-176.99240112304688,868.1609417529065,1317.7212583197743
1,1,NoHouse,4,0.06745648384094237,120,-286.8365936279297,1.3663920164108276,-176.74146270751953,865.6208656500386,1318.7562983080256
2,1,Avatar,105,1.6452326774597168,121,-287.8905334472656,1.372514247894287,-176.70079040527344,861.2597079431532,1318.923861395344
3,1,NoHouse,13,0.2217118740081787,122,-287.89764404296875,1.3746113777160645,-176.69998168945312,861.230277826503,1318.9271961659101
4,1,Avatar,52,0.8114564418792725,123,-287.90943908691406,1.3747567534446716,-176.70166778564453,861.181556884978,1318.9202704508898
5,1,NoHouse,65,0.9890246391296388,124,-287.89697265625,1.3812413215637207,-176.70065307617188,861.2330634447673,1318.9244267914
6,1,Avatar,131,2.042031764984131,125,-287.8829345703125,1.384813904762268,-176.7034149169922,861.291179150254,1318.9130365021679
7,1,NoHouse,12,0.19939208030700686,126,-287.88507080078125,1.38323312997818,-176.6992950439453,861.282293123798,1318.9300307250896
8,1,Avatar,28,0.4116826057434082,127,-287.9053649902344,1.379842460155487,-176.6847152709961,861.1981569570698,1318.9901377808228
9,1,NoHouse,10,0.15474963188171387,128,-287.9200897216797,1.3781225681304932,-176.65970611572266,861.1368822593464,1319.093361717506
10,1,Avatar,12,0.15574336051940918,129,-287.91571044921875,1.3771146535873413,-176.64391326904297,861.1548845728207,1319.1584454699464
11,1,NoHouse,5,0.08878445625305176,130,-287.90606689453125,1.3761454820632937,-176.63211059570312,861.1946507041131,1319.2071649355544
12,1,Avatar,2,0.03224015235900879,131,-287.8762512207031,1.3792701363563538,-176.5162582397461,861.3166907884025,1319.6850330753932
13,1,NoHouse,10,0.1998884677886963,132,-287.7158660888672,1.388813316822052,-176.10894775390625,861.9755789581097,1321.3652620481412
14,1,Avatar,12,0.1334240436553955,133,-287.79869079589844,1.385504424571991,-176.14745330810547,861.6333229719442,1321.206380763388
15,1,NoHouse,3,0.033231258392333984,134,-287.8999938964844,1.3849818706512451,-176.17388916015625,861.214534987516,1321.0973475730257
16,1,Avatar,3,0.032736778259277344,135,-287.8838806152344,1.3854615688323977,-176.1531982421875,861.2809688643957,1321.1827011062119
17,1,NoHouse,22,0.3228952884674072,136,-287.7185516357422,1.3884097933769226,-175.99476623535156,861.9631610811768,1321.8362660510115
18,1,Avatar,10,0.18897700309753415,137,-288.7279052734375,1.4007750749588013,-175.93181610107422,857.7861566104776,1322.0957599494463
19,1,Building_187,1,0.022319555282592773,138,-289.0334777832031,1.408853530883789,-175.7589874267578,856.5198115653587,1322.8086821128977
20,1,NoHouse,5,0.07787179946899414,139,-289.0888977050781,1.4118258953094482,-175.6605987548828,856.2893721069344,1323.2145380114425
21,1,Avatar,8,0.09969663619995116,140,-289.2409362792969,1.4204113483428955,-175.3758544921875,855.6570140481679,1324.3891210102988
22,1,NoHouse,8,0.1215190887451172,141,-289.6045379638672,1.4390272498130798,-174.82027435302734,854.1460868192455,1326.680893008845
23,1,Avatar,20,0.3114891052246094,142,-289.81011962890625,1.4547927379608157,-174.36737060546875,853.29030063931,1328.5492092289655
24,1,NoHouse,4,0.05604767799377442,143,-290.0436553955078,1.4776556491851809,-173.61006927490234,852.3153419215294,1331.6731815353592
25,1,Avatar,9,0.15524816513061526,144,-290.1853942871094,1.4938412904739382,-173.13037109375,851.7232765601245,1333.652072831087
26,1,NoHouse,1,0.011409521102905272,145,-290.26324462890625,1.502157211303711,-172.86607360839844,851.3981070689392,1334.7423637595407
27,1,Avatar,2,0.03323078155517578,146,-290.2361602783203,1.5015504956245422,-172.88189697265625,851.510422692349,1334.6770896356957
28,1,NoHouse,36,0.5654397010803223,147,-290.32464599609375,1.5329220294952393,-171.62023162841797,851.1297154340515,1339.881793406193
29,1,Avatar,91,1.4656805992126465,148,-288.8597412109375,1.641594409942627,-166.90933227539062,857.1372228683265,1359.3160901974697
30,1,NoHouse,18,0.28966426849365234,149,-289.34857177734375,1.685474514961243,-165.5635528564453,855.0990486615686,1364.8681994758686
31,1,Avatar,76,1.2102391719818115,150,-288.4873504638672,1.7647494077682495,-161.69019317626953,858.6182671113584,1380.8480642649629
32,1,NoHouse,3,0.04464101791381836,151,-288.0622253417969,1.789438009262085,-161.05364990234375,860.3701936643985,1383.4740953690061
33,1,Avatar,5,0.08878326416015625,152,-288.1831359863281,1.7926013469696045,-160.90176391601562,859.8681304625886,1384.1007711206476
34,1,NoHouse,14,0.2390725612640381,153,-288.51109313964844,1.8039191961288448,-160.4249725341797,858.5055235101614,1386.0679910361023
35,1,Avatar,17,0.3055362701416016,154,-288.415283203125,1.8416006565094,-159.1902313232422,858.8879025841871,1391.1622249331708
36,1,NoHouse,45,0.7767353057861328,155,-288.7320861816406,1.918574810028076,-156.87974548339844,857.5504755420749,1400.6950859472754
37,1,Avatar,47,0.722177267074585,156,-288.38818359375,2.0040428638458248,-153.66934204101562,858.9367937811811,1413.9409699170292
38,1,NoHouse,1,0.02182316780090332,157,-288.55450439453125,2.0588088035583496,-152.03768920898438,858.2298349126937,1420.6733909718555
