SubjectID,PathNum,Condition,Success,VisibleBuildings0,VisibleBuildings1,VisibleBuildings2+
1004,1,A,True,1.0,0.5378151260504201,0.5126050420168067
1004,2,A,True,0.9776536312849162,0.8659217877094972,0.8268156424581006
1004,3,A,True,1.0,0.691358024691358,0.5895061728395061
1004,4,A,True,0.9847328244274809,0.6335877862595419,0.5324427480916031
1004,5,A,True,1.0,0.7680412371134021,0.6597938144329897
1004,6,A,True,1.0,0.2470703125,0.1103515625
1004,7,A,True,1.0,0.0,0.0
1004,8,A,True,1.0,0.005917159763313609,0.0
1004,9,A,True,1.0,0.48906560636182905,0.3817097415506958
1005,1,B,True,1.0,0.8011444921316166,0.748211731044349
1005,2,B,True,1.0,0.009771986970684038,0.0
1005,3,B,True,1.0,0.0,0.0
1005,4,B,True,0.9985549132947977,0.2254335260115607,0.13583815028901733
1005,5,B,True,1.0,0.8070776255707762,0.6769406392694064
1005,6,B,True,1.0,0.4892802450229709,0.3996937212863706
1005,7,B,False,1.0,0.24129821260583256,0.16415804327375352
1005,8,B,True,1.0,0.9974126778783958,0.9831824062095731
1005,9,B,True,1.0,0.8877952755905512,0.7952755905511811
1008,1,A,True,0.984,0.5616,0.44
1008,2,A,True,1.0,0.791196388261851,0.7325056433408578
1008,3,A,True,1.0,0.898876404494382,0.7584269662921348
1008,4,A,True,0.9948283968030089,0.3610719322990127,0.2637517630465444
1008,5,A,True,1.0,0.8115942028985508,0.6485507246376812
1008,6,A,False,0.9983615510649918,0.4565811032222829,0.3779355543418897
1008,7,A,True,1.0,0.0,0.0
1008,8,A,True,1.0,0.15357142857142858,0.04047619047619048
1008,9,A,True,0.9952662721893492,0.4059171597633136,0.28816568047337277
1011,1,A,True,0.998422712933754,0.8438485804416404,0.6498422712933754
1011,2,A,True,0.9921052631578947,0.8921052631578947,0.8657894736842106
1011,3,A,True,1.0,0.9395348837209302,0.8465116279069768
1011,4,A,False,1.0,0.3189950513894176,0.25428245146555006
1011,5,A,False,0.9992540096978739,0.38269302499067515,0.27676240208877284
1011,6,A,True,0.9984732824427481,0.33129770992366414,0.22442748091603054
1011,7,A,True,1.0,0.0,0.0
1011,8,A,True,1.0,0.27034611786716556,0.05144995322731525
1011,9,A,True,0.9989738327347357,0.323242688558235,0.27603899435608004
1013,1,B,True,1.0,0.5364963503649635,0.4708029197080292
1013,2,B,True,1.0,0.0,0.0
1013,3,B,True,1.0,0.0,0.0
1013,4,B,True,1.0,0.33766233766233766,0.24025974025974026
1013,5,B,True,1.0,0.8823529411764706,0.7254901960784313
1013,6,B,True,1.0,0.7822966507177034,0.5191387559808612
1013,7,B,True,1.0,0.7580645161290323,0.7419354838709677
1013,8,B,True,1.0,0.9529780564263323,0.8557993730407524
1013,9,B,True,0.9945945945945946,0.4972972972972973,0.40540540540540543
1017,1,A,True,0.9961089494163424,0.7704280155642024,0.6342412451361867
1017,2,A,True,1.0,0.9534883720930233,0.8546511627906976
1017,3,A,True,1.0,0.8780487804878049,0.6585365853658537
1017,4,A,True,0.9987878787878788,0.36848484848484847,0.3103030303030303
1017,5,A,True,1.0,0.3981042654028436,0.2843601895734597
1017,6,A,True,1.0,0.35428571428571426,0.26285714285714284
1017,7,A,True,0.9764705882352941,0.0,0.0
1017,8,A,True,1.0,0.20125786163522014,0.03773584905660377
1017,9,A,True,0.9934354485776805,0.29978118161925604,0.23413566739606126
1018,1,A,True,0.9994769874476988,0.39173640167364016,0.28922594142259417
1018,2,A,True,1.0,0.7884615384615384,0.6384615384615384
1018,3,A,True,1.0,0.9264705882352942,0.8284313725490197
1018,4,A,True,1.0,0.6751336898395722,0.5401069518716578
1018,5,A,True,0.9841986455981941,0.8306997742663657,0.7020316027088036
1018,6,A,True,1.0,0.2710765239948119,0.1893644617380026
1018,7,A,True,1.0,0.0,0.0
1018,8,A,True,1.0,0.5557109557109557,0.3995337995337995
1018,9,A,True,1.0,0.5689948892674617,0.44293015332197616
1021,1,B,True,1.0,0.822,0.79
1021,2,B,True,1.0,0.006726457399103139,0.0
1021,3,B,True,1.0,0.0,0.0
1021,4,B,True,1.0,0.16666666666666666,0.11797752808988764
1021,5,B,True,1.0,0.803347280334728,0.6527196652719666
1021,6,B,True,1.0,0.6102941176470589,0.42892156862745096
1021,7,B,True,1.0,0.9094827586206896,0.7112068965517241
1021,8,B,True,1.0,0.963855421686747,0.9096385542168675
1021,9,B,True,1.0,0.6214285714285714,0.5321428571428571
1022,1,B,True,1.0,0.6062992125984252,0.562992125984252
1022,2,B,True,0.9929078014184397,0.0035460992907801418,0.0
1022,3,B,True,1.0,0.0,0.0
1022,4,B,True,1.0,0.1897810218978102,0.08394160583941605
1022,5,B,True,1.0,0.7313432835820896,0.6343283582089553
1022,6,B,True,0.9969604863221885,0.6534954407294833,0.5227963525835866
1022,7,B,True,1.0,0.9712230215827338,0.8848920863309353
1022,8,B,True,1.0,0.9646017699115044,0.9469026548672567
1022,9,B,True,1.0,0.7660377358490567,0.660377358490566
1023,1,B,True,1.0,0.8028169014084507,0.7276995305164319
1023,2,B,True,1.0,0.0,0.0
1023,3,B,True,1.0,0.0,0.0
1023,4,B,True,0.9950124688279302,0.34663341645885287,0.23192019950124687
1023,5,B,True,1.0,0.8162729658792651,0.6587926509186351
1023,6,B,True,1.0,0.5357917570498916,0.4164859002169197
1023,7,B,True,1.0,0.6428571428571429,0.5416666666666666
1023,8,B,True,0.9952718676122931,0.9491725768321513,0.8557919621749409
1023,9,B,True,1.0,0.6445993031358885,0.5574912891986062
