SubjectID,Total Rows Combined,Removed Body Hits,Removed Graffiti Hits,Replaced NoHouse Hits,DataLoss BitMask,DataLoss NoHits,DataLoss Combined,Condensed Size,Removed rows,Removed rows (%)
1004,155386,0,493,2976,0.0307621021198821,0.0006628653804075013,0.0314249675002896,5119.0,34.0,0.006598098195226082
1005,163931,0,1200,13689,0.045567952370204536,0.0038186798104080373,0.049386632180612566,7969.0,298.0,0.03604693359138744
1008,181800,0,2648,26818,0.19385038503850385,0.00544004400440044,0.19929042904290428,10555.0,266.0,0.024581831623694667
1011,187015,0,4735,43272,0.02601395609977809,0.0030692725182472,0.029083228618025293,10560.0,210.0,0.019498607242339833
1013,103575,0,5306,46190,0.0121940622737147,0.0006372194062273715,0.01283128167994207,2130.0,22.0,0.010223048327137546
1017,206396,0,5593,48956,0.03320800790712998,0.0004845055136727456,0.033692513420802726,3091.0,36.0,0.011512631915574032
1018,141543,0,7171,60545,0.0485082271818458,0.003490105480313403,0.0519983326621592,8033.0,206.0,0.02500303434882874
1021,82443,0,7915,65544,0.016811615297842145,0.002122678699222493,0.01893429399706464,3307.0,84.0,0.024771453848422293
1022,88300,0,8197,67538,0.02690826727066817,0.0022310305775764443,0.02913929784824462,2121.0,28.0,0.013029315960912053
1023,86031,0,8780,72314,0.06759191454243238,0.0009531447966430704,0.06854505933907545,3731.0,32.0,0.008503853308530427
1054,145460,0,10101,83345,0.04368898666300014,0.002846143269627389,0.04653512993262753,9849.0,164.0,0.01637870768001598
1055,172474,0,10971,87782,0.053903776801141036,0.0019307257905539386,0.05583450259169498,4094.0,68.0,0.016338298894762134
1057,139379,0,12655,93637,0.015109880254557716,0.00825805896153653,0.023367939216094244,4506.0,218.0,0.04614733276883996
1058,189843,0,16174,102839,0.07511470004161333,0.004166600822785143,0.07928130086439847,9807.0,242.0,0.024081998208776993
1069,162014,0,17780,107837,0.052964558618391,0.002487439357092597,0.0554519979754836,4568.0,68.0,0.014667817083692839
1074,157604,0,20341,124660,0.012004771452501206,0.007943960813177331,0.019948732265678542,11093.0,322.0,0.02820849759088918
