PathNumber,ColliderName,Samples,timeDiff,Index
0,NoHouse,199,2.8916797637939453,0
0,NoHit,1,0.011408090591430664,1
0,NoHouse,9,0.15524816513061523,2
0,TaskBuilding_53,11,0.1998882293701172,3
0,Building_218,1,0.011406898498535156,4
0,TaskBuilding_53,2,0.044640302658081055,5
0,NoHouse,36,0.5421288013458252,6
0,TaskBuilding_53,1,0.011903762817382812,7
0,NoHouse,3,0.043648719787597656,8
0,TaskBuilding_53,27,0.38985514640808105,9
0,NoHouse,97,1.4666721820831299,10
0,TaskBuilding_53,24,0.3665444850921631,11
0,NoHouse,7,0.10068821907043457,12
0,TaskBuilding_53,2,0.03224039077758789,13
0,NoHouse,24,0.422590970993042,14
0,TaskBuilding_53,34,0.5441131591796875,15
0,NoHouse,1,0.021822690963745117,16
0,TaskBuilding_53,1,0.011408090591430664,17
0,NoHouse,4,0.07787203788757324,18
0,TaskBuilding_53,1,0.01140904426574707,19
0,NoHouse,42,0.5996642112731934,20
0,TaskBuilding_53,16,0.2648639678955078,21
0,NoHouse,5,0.06696009635925293,22
0,TaskBuilding_53,2,0.0441439151763916,23
0,NoHouse,5,0.08878445625305176,24
0,TaskBuilding_53,1,0.021823644638061523,25
0,NoHouse,11,0.15772795677185059,26
0,TaskBuilding_53,5,0.06646418571472168,27
0,NoHouse,70,1.1214559078216553,28
1,NoHouse,47,0.6150391101837158,29
1,TaskBuilding_53,2,0.022320032119750977,30
1,NoHouse,55,0.8000481128692627,31
1,Building_219,1,0.021824121475219727,32
1,NoHouse,61,0.9652163982391357,33
1,Building_215,1,0.021824359893798828,34
1,NoHouse,2,0.04463958740234375,35
1,Building_213,1,0.010911941528320312,36
1,NoHouse,1,0.01140737533569336,37
1,Building_210,3,0.032737016677856445,38
1,Building_213,1,0.011407613754272461,39
1,Building_210,1,0.022319316864013672,40
1,Building_213,5,0.05654478073120117,41
1,NoHouse,1,0.021823883056640625,42
1,Building_213,2,0.022320032119750977,43
1,NoHouse,29,0.4558241367340088,44
1,Building_213,4,0.0773768424987793,45
1,Building_212,2,0.03372669219970703,46
1,Building_213,1,0.010912895202636719,47
1,NoHouse,1,0.011406898498535156,48
1,Building_213,7,0.12201714515686035,49
1,NoHouse,3,0.05555295944213867,50
1,Building_212,3,0.044638872146606445,51
1,NoHouse,1,0.021823406219482422,52
1,Building_212,16,0.22220849990844727,53
1,HighSilo-TaskBuilding_49,1,0.022320032119750977,54
1,Building_212,9,0.13193607330322266,55
1,Building_213,1,0.010912179946899414,56
1,NoHouse,36,0.5455999374389648,57
1,Building_212,3,0.04463982582092285,58
1,NoHouse,2,0.02182292938232422,59
1,Building_212,1,0.011409759521484375,60
1,NoHouse,12,0.15574407577514648,61
1,Building_212,1,0.022319793701171875,62
1,NoHouse,86,1.3099355697631836,63
1,Building_213,2,0.022815942764282227,64
1,NoHouse,5,0.08828854560852051,65
1,Building_213,15,0.23411154747009277,66
1,NoHouse,8,0.14384031295776367,67
1,Building_213,13,0.2108006477355957,68
1,NoHouse,7,0.12102365493774414,69
1,Building_213,2,0.03422427177429199,70
1,Building_212,33,0.5227839946746826,71
1,HighSilo-TaskBuilding_49,2,0.021824121475219727,74
1,NoHit,1,0.011407852172851562,75
1,Building_212,17,0.26635193824768066,76
1,Building_213,1,0.010912418365478516,77
1,Building_210,23,0.3333110809326172,78
1,Building_211,3,0.05555248260498047,79
1,Building_210,3,0.053568124771118164,80
1,Building_211,12,0.18947219848632812,81
1,Building_210,22,0.33480024337768555,82
1,NoHouse,22,0.3551361560821533,83
1,TaskBuilding_50,1,0.010911941528320312,84
1,NoHouse,126,2.02120041847229,85
1,Building_210,18,0.25544023513793945,86
1,Building_211,1,0.010911703109741211,87
1,Building_210,2,0.03323221206665039,88
1,Building_211,16,0.24551987648010254,89
1,Building_210,2,0.03273606300354004,90
1,NoHouse,6,0.11060810089111328,91
1,Building_187,2,0.03372836112976074,92
1,NoHouse,3,0.05555105209350586,93
1,Building_187,3,0.05952095985412598,94
1,NoHouse,127,2.061375617980957,95
1,Building_214,1,0.011410236358642578,96
1,NoHouse,5,0.06646466255187988,97
1,Building_214,4,0.05555105209350586,98
1,NoHouse,1,0.02231884002685547,99
1,Building_215,6,0.09969615936279297,100
1,NoHouse,3,0.044640302658081055,101
1,Building_214,1,0.021822690963745117,102
1,NoHouse,5,0.10019254684448242,103
1,Building_214,62,0.9215693473815918,104
1,NoHouse,46,0.7444956302642822,105
1,Building_214,10,0.14433526992797852,106
1,TaskBuilding_50,10,0.18897652626037598,107
1,Building_214,2,0.0441441535949707,108
1,TaskBuilding_50,3,0.05604815483093262,109
1,NoHouse,1,0.02182316780090332,110
1,Building_214,15,0.24452853202819824,111
1,NoHouse,3,0.06646418571472168,112
1,Building_214,1,0.011407613754272461,113
1,NoHouse,1,0.021824359893798828,114
1,Building_214,2,0.03323197364807129,115
1,NoHouse,1,0.011407613754272461,116
1,Building_172,1,0.02182483673095703,117
1,NoHouse,12,0.18550395965576172,118
1,Building_171,1,0.012399911880493164,119
1,NoHouse,1,0.021823644638061523,120
1,Building_171,3,0.06696057319641113,121
1,Building_214,2,0.044142961502075195,122
1,NoHouse,1,0.01140904426574707,123
1,Building_214,5,0.09969592094421387,124
1,NoHouse,20,0.23559999465942383,125
1,Building_214,16,0.2117917537689209,126
1,NoHouse,2,0.04364728927612305,127
