SubjectID,Condition,Dyadic?,Leader?,SessionID,P1:Success,P1:TimeSec,P1:Time After Guide,P1:Distance Covered,P1:Dist After Fail,P2:Success,P2:TimeSec,P2:Time After Guide,P2:Distance Covered,P2:Dist After Fail,P3:Success,P3:TimeSec,P3:Time After Guide,P3:Distance Covered,P3:Dist After Fail,P4:Success,P4:TimeSec,P4:Time After Guide,P4:Distance Covered,P4:Dist After Fail,P5:Success,P5:TimeSec,P5:Time After Guide,P5:Distance Covered,P5:Dist After Fail,P6:Success,P6:TimeSec,P6:Time After Guide,P6:Distance Covered,P6:Dist After Fail,P7:Success,P7:TimeSec,P7:Time After Guide,P7:Distance Covered,P7:Dist After Fail,P8:Success,P8:TimeSec,P8:Time After Guide,P8:Distance Covered,P8:Dist After Fail,P9:Success,P9:TimeSec,P9:Time After Guide,P9:Distance Covered,P9:Dist After Fail,#Success
1004,A,True,False,1768,True,187.5321979522705,-112.46780204772949,760.114278200064,0.0,True,67.01110696792603,-237.98889303207397,288.9762288242391,0.0,True,104.9089903831482,-129.0910096168518,445.09131862184285,0.0,True,354.5027115345001,22.502711534500122,1491.3672375398173,80.66693814376201,True,75.67027878761292,-192.32972121238708,343.0142380768565,0.0,True,239.27493262290955,-154.72506737709045,1119.8730819530367,0.0,True,50.70659112930298,-101.29340887069702,226.62627509172836,0.0,True,111.89961647987366,-271.10038352012634,484.83992792934964,0.0,True,119.37780976295471,-212.6221902370453,542.8261971292469,0.0,9
1005,B,True,True,3709,True,159.90173602104187,-172.09826397895813,468.4315159304678,0.0,True,161.88771677017212,-221.11228322982788,505.1652757324367,0.0,True,78.68086171150208,-73.31913828849792,228.5474284475174,0.0,True,173.18558764457703,-220.81441235542297,433.1007436274046,0.0,True,133.23185443878174,-134.76814556121826,346.345988579823,0.0,True,205.393301486969,-126.606698513031,597.2217367085024,0.0,False,310.389404296875,76.389404296875,937.7227748999873,304.55812231759614,True,105.29320812225342,-199.70679187774658,325.7581444689291,0.0,True,173.9057788848877,-126.0942211151123,486.7792478463458,0.0,8
1008,A,True,True,9829,True,117.7555034160614,-182.2444965839386,580.9524960901189,0.0,True,122.66987776756287,-182.33012223243713,595.670646414098,0.0,True,35.10345125198364,-198.89654874801636,173.2048007610072,0.0,True,296.8350348472595,-35.16496515274048,1467.3290060603579,0.0,True,72.50834465026855,-195.49165534973145,358.8102385271056,0.0,False,620.3901181221008,226.39011812210083,3093.4201058602425,1132.5313383971798,True,51.84198212623596,-100.15801787376404,244.50206850739497,0.0,True,117.42913603782654,-265.57086396217346,580.853946606545,0.0,True,258.90636444091797,-73.09363555908203,1279.0190761806039,0.0,8
1011,A,True,True,4920,True,134.85830855369568,-165.14169144630432,606.083714975663,0.0,True,66.92670702934265,-238.07329297065735,304.83010530650176,0.0,True,35.81414341926575,-198.18585658073425,168.53200684887543,0.0,False,482.23307824134827,150.23307824134827,2227.056625444776,723.2828717402316,False,351.41418981552124,83.41418981552124,1704.3429308361146,416.47031753054864,True,89.82750177383423,-304.17249822616577,434.1919283162874,0.0,True,49.95112347602844,-102.04887652397156,231.3780435585224,0.0,True,119.17629075050354,-263.82370924949646,577.0766355873047,0.0,True,290.75443720817566,-41.24556279182434,1430.2291977357386,0.0,7
1013,B,True,False,8049,True,99.18170690536499,-232.818293094635,459.0304246428831,0.0,True,107.86905431747437,-275.13094568252563,513.3710555613193,0.0,True,45.597712993621826,-106.40228700637817,202.86675740812584,0.0,True,93.14075708389282,-300.8592429161072,433.63584493942653,0.0,True,73.3256094455719,-194.6743905544281,358.89527210093974,0.0,True,113.94363355636597,-218.05636644363403,500.96336840522116,0.0,True,34.45651078224182,-199.54348921775818,167.88679841277238,0.0,True,104.24019408226013,-200.75980591773987,504.35290590918436,0.0,True,97.30304551124573,-202.69695448875427,470.40481424984443,0.0,9
1017,A,True,False,4920,True,136.81132245063782,-163.18867754936218,606.6307700290231,0.0,True,68.57653307914734,-236.42346692085266,297.6601311690065,0.0,True,37.6801655292511,-196.3198344707489,168.98665450968952,0.0,True,484.871737241745,152.871737241745,2195.7753096841716,723.7697351985247,True,353.8675904273987,85.86759042739868,1691.666938197938,421.3283673559714,True,92.40340518951416,-301.59659481048584,432.65707954279395,0.0,True,52.95301365852356,-99.04698634147644,237.6569584663867,0.0,True,122.44069862365723,-260.5593013763428,578.0633183056472,0.0,True,292.0188076496124,-39.98119235038757,1432.514716448344,0.0,9
1018,A,True,True,7882,True,263.7879340648651,-36.21206593513489,1241.9863972126345,0.0,True,137.95731258392334,-167.04268741607666,637.6331043799872,0.0,True,36.779855251312256,-197.22014474868774,173.00545668864785,0.0,True,124.08470249176025,-207.91529750823975,601.3110424148725,0.0,True,75.48617124557495,-192.51382875442505,357.7974316485196,0.0,True,127.90389847755432,-266.0961015224457,613.6734032727305,0.0,True,50.10389065742493,-101.89610934257507,231.0815920706512,0.0,True,332.98979353904724,-50.01020646095276,1624.2778659735982,0.0,True,111.84095311164856,-220.15904688835144,492.7520369031183,0.0,9
1021,B,True,True,6904,True,101.8858630657196,-230.1141369342804,470.3188730743733,0.0,True,111.86092233657837,-271.13907766342163,514.3493229636356,0.0,True,49.12881088256836,-102.87118911743164,228.7963565365463,0.0,True,95.37486815452576,-298.62513184547424,441.0928601346198,0.0,True,71.93192052841187,-196.06807947158813,348.3399728043471,0.0,True,111.71757698059082,-220.28242301940918,532.8771331966318,0.0,True,37.691049575805664,-196.30895042419434,174.0687300818112,0.0,True,62.6740779876709,-242.3259220123291,300.0164245368455,0.0,True,100.30808663368225,-199.69191336631775,491.6197796279564,0.0,9
1022,B,True,False,6904,True,103.52522563934326,-228.47477436065674,468.66385220041604,0.0,True,113.25328278541565,-269.74671721458435,516.7036173767916,0.0,True,50.358930826187134,-101.64106917381287,232.26339289165716,0.0,True,96.27220869064331,-297.7277913093567,441.1424079216371,0.0,True,73.01920962333679,-194.9807903766632,350.47617400373474,0.0,True,109.32843351364136,-222.67156648635864,523.9493687898879,0.0,True,39.513880014419556,-194.48611998558044,174.9008518636993,0.0,True,63.8273286819458,-241.1726713180542,299.1635483943247,0.0,True,101.2371757030487,-198.7628242969513,487.8456237988664,0.0,9
1023,B,True,True,8049,True,96.11995840072632,-235.88004159927368,462.3924953827663,0.0,True,105.8822410106659,-277.1177589893341,517.4546351744898,0.0,True,43.29886865615845,-108.70113134384155,200.74020685948804,0.0,True,90.44571113586426,-303.55428886413574,429.74532517165164,0.0,True,72.11997604370117,-195.88002395629883,357.72192873409966,0.0,True,105.80585718154907,-226.19414281845093,516.6820419102803,0.0,True,33.418537855148315,-200.58146214485168,163.02444923690064,0.0,True,103.16167879104614,-201.83832120895386,506.2349229976513,0.0,True,95.69736504554749,-204.30263495445251,472.8183724639702,0.0,9
