ColliderName,Samples,timeDiff,Index,HMD_x,HMD_y,HMD_z,transformed_HMD_x,transformed_HMD_y
TaskBuilding_35,22,0.2772636413574219,3,-59.12934875488281,2.386746644973755,34.81264495849609,1804.8225791551422,2190.9610795617264
TaskBuilding_35,227,3.67634654045105,20,-59.15153503417969,2.412542819976806,34.774002075195305,1804.7312380863561,2190.80172961772
TaskBuilding_35,230,3.664442777633667,23,-59.15415954589844,2.4104158878326416,34.77533721923828,1804.720394697094,2190.8072564937615
Building_166,116,1.9086041450500488,28,-59.85441589355469,2.421086549758911,34.71480941772461,1801.8299125053443,2190.561820439073
Building_166,22,0.4126706123352051,34,-59.86569213867188,2.418996334075928,34.66901016235352,1801.7836577992528,2190.372865335402
Building_154,22,0.300079345703125,47,-59.85794067382813,2.416156530380249,34.629226684570305,1801.8159166899688,2190.208620090655
Building_166,113,1.7330214977264404,155,-59.89179992675781,2.4174230098724365,34.64835357666016,1801.6760103538013,2190.2877733317086
Building_166,25,0.4553272724151611,168,-60.93318176269531,2.42104434967041,34.019393920898445,1797.3809070231757,2187.6983876950735
Building_166,31,0.5436151027679443,178,-61.59324645996094,2.424989461898804,33.679489135742195,1794.658115315303,2186.2996175724284
Building_166,43,0.6770389080047607,206,-65.24790954589844,2.444793462753296,31.80638885498047,1779.5821307950494,2178.5914207428314
Building_166,187,2.8217389583587646,275,-82.82926940917969,2.4729795455932617,18.24922180175781,1707.081208172941,2122.7419927159995
Building_171,83,1.2553727626800537,283,-86.60249328613281,2.495012283325196,15.783355712890625,1691.5171824461188,2112.586301289881
Building_166,22,0.3109920024871826,291,-89.08012390136719,2.5209126472473145,16.704261779785153,1681.2789457595918,2116.4012698806
Building_171,33,0.499967098236084,293,-89.25904846191406,2.535778045654297,16.141799926757812,1680.5440479975584,2114.080805235611
Building_154,35,0.5778393745422363,327,-90.62409973144531,2.544290542602539,13.465606689453125,1674.9258819881004,2103.043019958848
TaskBuilding_35,49,0.6775355339050293,725,0.098358154296875,2.052762746810913,39.31584167480469,2049.2016176533125,2209.1689924233606
Building_97,22,0.3784470558166504,892,34.955101013183594,1.6802763938903809,53.41307067871094,2192.8788404929774,2267.095950125089
TaskBuilding_27,39,0.6452949047088623,933,42.512603759765625,1.6394059658050537,52.94194030761719,2224.0385206455594,2265.101095674043
Building_97,41,0.6646387577056885,955,45.42822265625,1.6536979675292969,53.85934448242188,2236.054062367356,2268.865459326211
