Subject,HierarchyIndex
1004.0,3.1143609705624558
1005.0,2.9115848452212947
1008.0,2.976124217336236
1010.0,3.018972005268721
1011.0,3.0504749021056567
1013.0,3.1956810386770056
1017.0,2.6601572468431063
1018.0,3.257536159552024
1019.0,3.129224280769525
1021.0,2.6282708922610243
1022.0,3.0513807012452627
1023.0,4.016584062130448
1054.0,3.0896421682048536
1055.0,2.612183397898089
1056.0,3.1047256531210583
1057.0,2.451442778020145
1058.0,3.2952659901048644
1068.0,2.8366312365662694
1069.0,2.717198306807248
1072.0,2.4045472663394416
1073.0,2.6579128808546626
1074.0,3.186158337718347
1075.0,2.6779257233172866
1077.0,3.3939408738704606
1079.0,3.1284865998120694
1080.0,3.5026042026007245
