Subject,Unconnected Nodes,Unconnected Component Nodes,Eigenvalue,Complete Edges,L Edges,R Edges,Cut Edges,Total Nodes,L Nodes,R Nodes,Complete Degree,L Degree,R Degree,Complete Density,L Density,R Density
1004.0,4.0,0.0,0.17171571177715267,901.0,599.0,245.0,57.0,238.0,157.0,81.0,7.571428571428571,7.630573248407643,6.049382716049383,0.031946955997588906,0.04891393107953618,0.07561728395061729
1005.0,2.0,0.0,0.16024092775250562,695.0,428.0,226.0,41.0,235.0,139.0,96.0,5.914893617021277,6.158273381294964,4.708333333333333,0.025277323149663574,0.04462516942967365,0.04956140350877193
1008.0,0.0,0.0,0.2055027133433948,1091.0,769.0,262.0,60.0,241.0,161.0,80.0,9.053941908713693,9.5527950310559,6.55,0.03772475795297372,0.05970496894409938,0.08291139240506329
1010.0,0.0,0.0,0.20825364042765662,1043.0,663.0,319.0,61.0,240.0,141.0,99.0,8.691666666666666,9.404255319148936,6.444444444444445,0.03636680613668061,0.06717325227963526,0.06575963718820861
1011.0,0.0,0.0,0.1954630425262363,1002.0,725.0,229.0,48.0,242.0,161.0,81.0,8.28099173553719,9.006211180124224,5.654320987654321,0.034360961558245605,0.0562888198757764,0.07067901234567901
1013.0,0.0,0.0,0.14760050929636712,1003.0,731.0,233.0,39.0,239.0,163.0,76.0,8.393305439330543,8.969325153374234,6.131578947368421,0.035265989240884636,0.05536620465045823,0.08175438596491227
1017.0,0.0,0.0,0.30039702342282665,1151.0,596.0,455.0,100.0,242.0,132.0,110.0,9.512396694214877,9.030303030303031,8.272727272727273,0.03947052570213642,0.06893361091834374,0.07589658048373644
1018.0,3.0,0.0,0.08960144092775121,758.0,568.0,148.0,42.0,236.0,174.0,62.0,6.423728813559322,6.528735632183908,4.774193548387097,0.02733501622791201,0.037738356255398314,0.07826546800634585
1019.0,3.0,2.0,0.1818751353333644,884.0,656.0,188.0,40.0,233.0,159.0,74.0,7.587982832618025,8.251572327044025,5.081081081081081,0.03270682255438804,0.052225141310405225,0.06960385042576823
1021.0,2.0,0.0,0.1749859240053375,821.0,541.0,240.0,40.0,234.0,141.0,93.0,7.017094017094017,7.673758865248227,5.161290322580645,0.030116283335167457,0.05481256332320162,0.056100981767180924
1022.0,2.0,0.0,0.17503805902633354,1007.0,696.0,263.0,48.0,240.0,154.0,86.0,8.391666666666667,9.03896103896104,6.116279069767442,0.0351115760111576,0.05907817672523555,0.0719562243502052
1023.0,3.0,0.0,0.25441074836746913,1031.0,586.0,369.0,76.0,237.0,139.0,98.0,8.70042194092827,8.431654676258994,7.530612244897959,0.036866194664950294,0.06109894692941299,0.07763517778245319
1054.0,4.0,0.0,0.08480403691116263,666.0,346.0,286.0,34.0,237.0,126.0,111.0,5.620253164556962,5.492063492063492,5.153153153153153,0.023814632053207465,0.04393650793650793,0.04684684684684685
1055.0,4.0,0.0,0.11680288527662559,839.0,625.0,187.0,27.0,237.0,151.0,86.0,7.080168776371308,8.278145695364238,4.348837209302325,0.03000071515411571,0.05518763796909492,0.05116279069767442
1056.0,3.0,0.0,0.13480791849719526,758.0,496.0,234.0,28.0,240.0,153.0,87.0,6.316666666666666,6.483660130718954,5.379310344827586,0.026429567642956765,0.042655658754729965,0.06255012028869286
1057.0,3.0,2.0,0.11368781493690308,677.0,445.0,198.0,34.0,231.0,147.0,84.0,5.861471861471862,6.054421768707483,4.714285714285714,0.025484660267268963,0.04146864225142111,0.05679862306368331
1058.0,3.0,0.0,0.3314725168624205,1219.0,867.0,278.0,74.0,241.0,157.0,84.0,10.116182572614107,11.044585987261147,6.619047619047619,0.04215076071922545,0.07079862812346889,0.07974756167527251
1068.0,2.0,0.0,0.2439676521558014,1087.0,819.0,199.0,69.0,239.0,166.0,73.0,9.096234309623432,9.867469879518072,5.4520547945205475,0.03821947188917408,0.059802847754654984,0.07572298325722983
1069.0,0.0,0.0,0.14616070973822165,934.0,701.0,188.0,45.0,239.0,162.0,77.0,7.815899581589958,8.654320987654321,4.883116883116883,0.032839914208361166,0.053753546507169694,0.06425153793574846
1072.0,0.0,0.0,0.40645343661306327,1439.0,1042.0,305.0,92.0,240.0,163.0,77.0,11.991666666666667,12.785276073619633,7.922077922077922,0.050174337517433755,0.07892145724456563,0.10423786739576213
1073.0,1.0,0.0,0.2191940127960566,1041.0,577.0,395.0,69.0,238.0,134.0,104.0,8.747899159663865,8.611940298507463,7.596153846153846,0.03691096691841293,0.06475143081584558,0.07374906646751307
1074.0,1.0,0.0,0.419405807959774,1247.0,606.0,530.0,111.0,243.0,127.0,116.0,10.263374485596708,9.543307086614174,9.137931034482758,0.04241063837023433,0.07574053243344582,0.07946026986506746
1075.0,1.0,0.0,0.30132021709190265,1272.0,904.0,294.0,74.0,241.0,163.0,78.0,10.556016597510373,11.0920245398773,7.538461538461538,0.04398340248962656,0.06846928728319321,0.0979020979020979
1077.0,9.0,0.0,0.08852307169296361,597.0,334.0,234.0,29.0,229.0,132.0,97.0,5.213973799126638,5.0606060606060606,4.824742268041237,0.02286830613652034,0.03863058061531344,0.05025773195876289
1079.0,10.0,0.0,0.07893207375701207,566.0,370.0,177.0,19.0,231.0,143.0,88.0,4.9004329004329,5.174825174825175,4.0227272727272725,0.021306230001882177,0.03644243080862799,0.04623824451410658
1080.0,2.0,0.0,0.2026936503600786,1001.0,689.0,261.0,51.0,239.0,151.0,88.0,8.376569037656903,9.125827814569536,5.931818181818182,0.03519566822544917,0.06083885209713024,0.06818181818181818
