Start,Target,1004,1005,1008,1010,1011,1013,1017,1018,1019,1021,1022,1023,1054,1055,1056,1057,1058,1068,1069,1072,1073,1074,1075,1077,1079,1080
TaskBuilding_35,Building_98,14.0,10.0,14.0,14.0,13.0,14.0,18.0,10.0,8.0,11.0,13.0,17.0,10.0,8.0,12.0,10.0,16.0,11.0,9.0,27.0,17.0,18.0,22.0,7.0,8.0,18.0
TaskBuilding_35,Building_149,6.0,4.0,7.0,5.0,4.0,3.0,9.0,2.0,3.0,4.0,5.0,5.0,6.0,5.0,7.0,4.0,7.0,7.0,5.0,9.0,2.0,10.0,8.0,2.0,5.0,5.0
TaskBuilding_35,Building_157,17.0,11.0,18.0,18.0,16.0,15.0,14.0,9.0,13.0,13.0,20.0,10.0,9.0,14.0,8.0,10.0,21.0,11.0,13.0,31.0,14.0,18.0,20.0,12.0,7.0,14.0
TaskBuilding_35,TaskBuilding_31,6.0,5.0,10.0,9.0,8.0,5.0,13.0,4.0,7.0,5.0,13.0,16.0,6.0,3.0,7.0,10.0,13.0,11.0,11.0,15.0,8.0,12.0,19.0,6.0,7.0,9.0
TaskBuilding_35,Building_146,5.0,2.0,6.0,6.0,9.0,5.0,12.0,7.0,4.0,5.0,10.0,9.0,5.0,3.0,5.0,8.0,11.0,7.0,7.0,11.0,5.0,4.0,13.0,4.0,7.0,5.0
TaskBuilding_35,TaskBuilding_5,8.0,7.0,13.0,11.0,11.0,8.0,10.0,12.0,7.0,10.0,14.0,9.0,10.0,7.0,10.0,9.0,11.0,10.0,11.0,16.0,12.0,11.0,11.0,5.0,5.0,9.0
TaskBuilding_35,Building_101,15.0,10.0,16.0,13.0,10.0,12.0,12.0,8.0,12.0,10.0,14.0,13.0,4.0,11.0,7.0,8.0,16.0,11.0,10.0,19.0,12.0,17.0,14.0,7.0,2.0,12.0
TaskBuilding_35,Building_100,9.0,10.0,10.0,10.0,10.0,11.0,12.0,8.0,5.0,10.0,10.0,9.0,9.0,11.0,13.0,9.0,20.0,11.0,13.0,13.0,10.0,11.0,15.0,6.0,7.0,14.0
TaskBuilding_35,Building_163,15.0,13.0,17.0,15.0,12.0,19.0,17.0,15.0,15.0,13.0,16.0,14.0,5.0,18.0,10.0,10.0,18.0,11.0,11.0,18.0,13.0,14.0,17.0,11.0,5.0,15.0
TaskBuilding_35,TaskBuilding_30,11.0,7.0,14.0,16.0,11.0,12.0,11.0,13.0,14.0,7.0,12.0,10.0,8.0,11.0,7.0,8.0,15.0,11.0,11.0,20.0,17.0,7.0,16.0,7.0,5.0,10.0
TaskBuilding_35,Building_99,4.0,2.0,2.0,5.0,5.0,4.0,11.0,6.0,5.0,4.0,5.0,2.0,2.0,2.0,4.0,6.0,13.0,6.0,8.0,5.0,11.0,5.0,8.0,3.0,4.0,3.0
TaskBuilding_35,Building_109,10.0,8.0,11.0,17.0,12.0,11.0,17.0,7.0,5.0,9.0,10.0,17.0,4.0,7.0,2.0,10.0,14.0,11.0,9.0,22.0,7.0,12.0,18.0,4.0,6.0,14.0
TaskBuilding_35,Building_97,17.0,11.0,23.0,15.0,15.0,15.0,18.0,10.0,12.0,13.0,20.0,12.0,9.0,12.0,9.0,9.0,11.0,11.0,11.0,22.0,17.0,18.0,22.0,9.0,8.0,12.0
TaskBuilding_35,TaskBuilding_26,10.0,7.0,9.0,8.0,13.0,16.0,17.0,6.0,11.0,8.0,18.0,18.0,10.0,11.0,9.0,10.0,17.0,11.0,21.0,21.0,14.0,10.0,17.0,9.0,5.0,13.0
TaskBuilding_35,Garage_98,6.0,3.0,4.0,5.0,6.0,6.0,7.0,3.0,3.0,2.0,8.0,9.0,3.0,4.0,3.0,2.0,9.0,6.0,6.0,6.0,5.0,5.0,6.0,0.0,2.0,3.0
TaskBuilding_35,TaskBuilding_27,13.0,8.0,13.0,13.0,14.0,13.0,13.0,8.0,13.0,10.0,11.0,11.0,4.0,8.0,10.0,7.0,21.0,11.0,10.0,21.0,13.0,16.0,16.0,7.0,4.0,13.0
TaskBuilding_35,Building_107,11.0,5.0,11.0,6.0,5.0,8.0,10.0,3.0,10.0,4.0,6.0,8.0,8.0,7.0,2.0,7.0,11.0,8.0,3.0,10.0,11.0,9.0,11.0,7.0,6.0,5.0
TaskBuilding_35,Building_108,10.0,8.0,8.0,16.0,12.0,8.0,13.0,11.0,7.0,3.0,14.0,10.0,8.0,8.0,5.0,10.0,11.0,11.0,8.0,14.0,16.0,16.0,19.0,7.0,8.0,10.0
TaskBuilding_35,Building_110,12.0,12.0,18.0,12.0,9.0,16.0,14.0,13.0,9.0,8.0,11.0,14.0,10.0,9.0,16.0,10.0,10.0,11.0,10.0,19.0,19.0,16.0,15.0,14.0,5.0,12.0
TaskBuilding_35,TaskBuilding_28,6.0,4.0,4.0,3.0,12.0,6.0,13.0,5.0,9.0,4.0,7.0,11.0,3.0,4.0,4.0,4.0,8.0,10.0,10.0,16.0,10.0,12.0,19.0,1.0,3.0,10.0
TaskBuilding_35,Building_137,10.0,8.0,11.0,13.0,9.0,11.0,16.0,7.0,12.0,6.0,12.0,10.0,6.0,6.0,12.0,10.0,15.0,11.0,17.0,16.0,14.0,18.0,14.0,8.0,8.0,8.0
TaskBuilding_35,Building_106,4.0,1.0,8.0,5.0,8.0,5.0,8.0,3.0,5.0,,2.0,7.0,6.0,1.0,1.0,4.0,3.0,3.0,3.0,2.0,7.0,4.0,7.0,3.0,3.0,4.0
TaskBuilding_35,Building_112,7.0,5.0,7.0,7.0,6.0,10.0,6.0,7.0,5.0,3.0,7.0,7.0,6.0,0.0,6.0,4.0,3.0,5.0,5.0,3.0,9.0,6.0,5.0,6.0,4.0,5.0
TaskBuilding_35,TaskBuilding_24,10.0,7.0,12.0,11.0,13.0,13.0,10.0,8.0,4.0,11.0,10.0,14.0,7.0,4.0,7.0,10.0,18.0,11.0,8.0,13.0,17.0,13.0,14.0,5.0,7.0,9.0
TaskBuilding_35,Building_114,11.0,7.0,8.0,5.0,9.0,11.0,10.0,9.0,4.0,7.0,9.0,2.0,7.0,4.0,10.0,7.0,9.0,10.0,10.0,7.0,12.0,8.0,14.0,5.0,7.0,8.0
TaskBuilding_35,Building_111,4.0,2.0,5.0,5.0,4.0,5.0,7.0,3.0,,3.0,4.0,6.0,6.0,2.0,3.0,3.0,5.0,2.0,6.0,6.0,2.0,5.0,3.0,6.0,5.0,1.0
TaskBuilding_35,Building_117,9.0,9.0,11.0,9.0,7.0,7.0,8.0,9.0,5.0,5.0,11.0,6.0,10.0,8.0,10.0,8.0,7.0,7.0,10.0,10.0,10.0,9.0,7.0,5.0,8.0,8.0
TaskBuilding_35,TaskBuilding_3,10.0,6.0,9.0,6.0,4.0,10.0,9.0,10.0,8.0,6.0,10.0,14.0,10.0,2.0,6.0,9.0,11.0,9.0,6.0,6.0,14.0,11.0,12.0,7.0,8.0,8.0
TaskBuilding_35,Building_86,9.0,8.0,9.0,8.0,6.0,14.0,13.0,6.0,3.0,7.0,8.0,10.0,7.0,5.0,9.0,7.0,9.0,1.0,3.0,10.0,10.0,13.0,16.0,4.0,1.0,5.0
TaskBuilding_35,Building_104,7.0,9.0,18.0,10.0,9.0,15.0,16.0,10.0,10.0,10.0,15.0,19.0,8.0,5.0,11.0,10.0,13.0,7.0,8.0,18.0,19.0,17.0,21.0,7.0,5.0,11.0
TaskBuilding_35,TaskBuilding_1,11.0,13.0,9.0,10.0,8.0,8.0,17.0,15.0,8.0,11.0,13.0,10.0,8.0,10.0,10.0,10.0,8.0,8.0,7.0,15.0,11.0,15.0,16.0,12.0,8.0,13.0
TaskBuilding_35,TaskBuilding_17,8.0,3.0,11.0,7.0,8.0,9.0,8.0,7.0,10.0,6.0,5.0,13.0,6.0,5.0,6.0,9.0,12.0,5.0,7.0,10.0,9.0,10.0,10.0,2.0,2.0,9.0
TaskBuilding_35,Building_113,10.0,10.0,15.0,14.0,7.0,10.0,16.0,13.0,8.0,10.0,15.0,14.0,9.0,6.0,12.0,10.0,14.0,9.0,15.0,11.0,16.0,12.0,11.0,12.0,8.0,13.0
TaskBuilding_35,Building_combined_115_116,10.0,9.0,16.0,6.0,6.0,8.0,13.0,9.0,11.0,5.0,11.0,9.0,9.0,6.0,12.0,7.0,14.0,10.0,12.0,11.0,10.0,14.0,16.0,8.0,7.0,11.0
TaskBuilding_35,TaskBuilding_22,7.0,7.0,8.0,7.0,8.0,7.0,12.0,9.0,8.0,6.0,9.0,11.0,7.0,11.0,7.0,7.0,7.0,9.0,9.0,8.0,9.0,13.0,14.0,6.0,6.0,9.0
TaskBuilding_35,Building_87,7.0,4.0,11.0,4.0,3.0,6.0,7.0,3.0,3.0,7.0,7.0,6.0,7.0,3.0,6.0,8.0,5.0,2.0,4.0,6.0,10.0,12.0,8.0,6.0,3.0,11.0
TaskBuilding_35,Building_85,7.0,4.0,9.0,2.0,5.0,6.0,7.0,2.0,3.0,5.0,6.0,7.0,6.0,4.0,6.0,1.0,4.0,3.0,3.0,13.0,3.0,12.0,7.0,1.0,1.0,4.0
TaskBuilding_35,Building_88,8.0,5.0,9.0,4.0,8.0,4.0,12.0,10.0,5.0,7.0,8.0,12.0,4.0,3.0,5.0,3.0,7.0,7.0,6.0,8.0,8.0,13.0,10.0,7.0,4.0,5.0
TaskBuilding_35,Church-TaskBuilding_16,4.0,8.0,7.0,13.0,7.0,8.0,10.0,7.0,10.0,10.0,12.0,11.0,9.0,6.0,12.0,6.0,19.0,11.0,13.0,21.0,15.0,16.0,9.0,5.0,5.0,10.0
TaskBuilding_35,TaskBuilding_15,7.0,2.0,7.0,7.0,10.0,8.0,11.0,8.0,8.0,6.0,7.0,9.0,4.0,6.0,6.0,6.0,7.0,8.0,8.0,11.0,11.0,11.0,5.0,5.0,2.0,10.0
