Edge1,Edge2
NoHouse,NoHouse
Phone,NoHouse
NoHouse,Phone
Phone,NoHouse
NoHouse,Phone
Hand,NoHouse
NoHouse,Hand
NoHit,NoHouse
NoHouse,NoHit
Building_225,NoHouse
NoHouse,Building_225
Building_225,NoHouse
NoHouse,Building_225
TaskBuilding_44,NoHouse
Building_154,TaskBuilding_44
TaskBuilding_44,Building_154
NoHouse,TaskBuilding_44
Building_147,NoHouse
NoHouse,Building_147
Building_230,NoHouse
Building_231,Building_230
NoHouse,Building_231
Building_231,NoHouse
Building_229,Building_231
Building_230,Building_229
NoHouse,Building_230
TaskBuilding_36,NoHouse
NoHouse,TaskBuilding_36
TaskBuilding_36,NoHouse
NoHouse,TaskBuilding_36
Building_230,NoHouse
NoHouse,Building_230
Building_138,NoHouse
NoHouse,Building_138
Hand,NoHouse
NoHouse,Hand
Building_229,NoHouse
Building_228,Building_229
NoHouse,Building_228
Building_133,NoHouse
Building_124,Building_133
NoHouse,Building_124
Building_228,NoHouse
NoHit,Building_228
NoHouse,NoHit
Building_228,NoHouse
NoHouse,Building_228
Building_228,NoHouse
NoHouse,Building_228
Building_135,NoHouse
Building_133,Building_135
NoHouse,Building_133
Building_133,NoHouse
NoHouse,Building_133
Building_124,NoHouse
NoHouse,Building_124
Building_123,NoHouse
NoHouse,Building_123
TaskBuilding_4,NoHouse
NoHouse,TaskBuilding_4
TaskBuilding_4,NoHouse
NoHouse,TaskBuilding_4
TaskBuilding_4,NoHouse
NoHouse,TaskBuilding_4
TaskBuilding_4,NoHouse
NoHouse,TaskBuilding_4
TaskBuilding_4,NoHouse
NoHouse,NoHouse
