Edge1,Edge2
NoHouse,NoHouse
Phone,NoHouse
Building_113,Phone
TaskBuilding_1,Building_113
Building_83,TaskBuilding_1
NoHouse,Building_83
Building_113,NoHouse
Building_combined_115_116,Building_113
Building_113,Building_combined_115_116
Building_104,Building_113
NoHouse,Building_104
Hand,NoHouse
Phone,Hand
NoHouse,Phone
Building_110,NoHouse
Building_113,Building_110
Building_122,Building_113
Building_113,Building_122
Building_122,Building_113
Building_104,Building_122
NoHouse,Building_104
Building_104,NoHouse
NoHouse,Building_104
Building_96,NoHouse
Building_94,Building_96
Building_104,Building_94
TaskBuilding_24,Building_104
Building_104,TaskBuilding_24
Building_80,Building_104
NoHouse,Building_80
TaskBuilding_14,NoHouse
NoHouse,TaskBuilding_14
TaskBuilding_14,NoHouse
NoHouse,TaskBuilding_14
Building_82,NoHouse
TaskBuilding_14,Building_82
NoHouse,TaskBuilding_14
Building_94,NoHouse
NoHouse,Building_94
TaskBuilding_18,NoHouse
Building_102,TaskBuilding_18
NoHouse,Building_102
Building_94,NoHouse
NoHouse,Building_94
TaskBuilding_23,NoHouse
NoHouse,TaskBuilding_23
TaskBuilding_23,NoHouse
NoHouse,TaskBuilding_23
TaskBuilding_27,NoHouse
Building_103,TaskBuilding_27
NoHouse,Building_103
TaskBuilding_27,NoHouse
Building_101,TaskBuilding_27
NoHouse,Building_101
Building_158,NoHouse
NoHouse,Building_158
Building_102,NoHouse
NoHouse,Building_102
Building_92,NoHouse
TaskBuilding_29,Building_92
NoHouse,TaskBuilding_29
TaskBuilding_29,NoHouse
NoHouse,TaskBuilding_29
TaskBuilding_29,NoHouse
Building_103,TaskBuilding_29
TaskBuilding_29,Building_103
NoHouse,TaskBuilding_29
Building_92,NoHouse
Building_176,Building_92
Building_102,Building_176
NoHouse,Building_102
TaskBuilding_34,NoHouse
TaskBuilding_38,TaskBuilding_34
NoHouse,TaskBuilding_38
TaskBuilding_40,NoHouse
NoHouse,TaskBuilding_40
Building_176,NoHouse
Building_160,Building_176
Building_159,Building_160
TaskBuilding_34,Building_159
TaskBuilding_40,TaskBuilding_34
NoHit,TaskBuilding_40
NoHouse,NoHit
TaskBuilding_40,NoHouse
NoHouse,TaskBuilding_40
House_49,NoHouse
NoHouse,House_49
Building_163,NoHouse
Building_166,Building_163
TaskBuilding_46,Building_166
NoHouse,TaskBuilding_46
TaskBuilding_46,NoHouse
NoHouse,TaskBuilding_46
TaskBuilding_46,NoHouse
Building_183,TaskBuilding_46
NoHouse,Building_183
Building_181,NoHouse
Building_183,Building_181
Building_202,Building_183
NoHouse,Building_202
Building_214,NoHouse
Building_171,Building_214
TaskBuilding_41,Building_171
Building_183,TaskBuilding_41
Building_180,Building_183
TaskBuilding_6,Building_180
Building_180,TaskBuilding_6
TaskBuilding_50,Building_180
Building_183,TaskBuilding_50
NoHouse,Building_183
TaskBuilding_6,NoHouse
Building_180,TaskBuilding_6
Garage_185,Building_180
Building_194,Garage_185
Building_186,Building_194
Building_188,Building_186
TaskBuilding_51,Building_188
NoHouse,TaskBuilding_51
HighSilo-TaskBuilding_49,NoHouse
NoHouse,HighSilo-TaskBuilding_49
Building_185,NoHouse
NoHouse,Building_185
Hand,NoHouse
NoHouse,Hand
Building_185,NoHouse
NoHouse,Building_185
Building_188,NoHouse
NoHouse,Building_188
Building_188,NoHouse
Building_194,Building_188
Building_188,Building_194
Building_194,Building_188
NoHouse,Building_194
Building_188,NoHouse
Building_194,Building_188
Building_197,Building_194
NoHouse,Building_197
Building_194,NoHouse
Building_188,Building_194
Building_186,Building_188
Building_188,Building_186
Building_194,Building_188
Building_189,Building_194
Building_197,Building_189
Building_195,Building_197
Building_189,Building_195
TaskBuilding_54,Building_189
Building_202,TaskBuilding_54
TaskBuilding_54,Building_202
NoHouse,TaskBuilding_54
Building_194,NoHouse
Building_197,Building_194
Building_195,Building_197
NoHouse,Building_195
TaskBuilding_50,NoHouse
Building_189,TaskBuilding_50
NoHouse,Building_189
Building_189,NoHouse
Building_188,Building_189
NoHouse,Building_188
Building_189,NoHouse
NoHouse,Building_189
TaskBuilding_50,NoHouse
NoHouse,TaskBuilding_50
Building_187,NoHouse
NoHouse,Building_187
TaskBuilding_50,NoHouse
Building_187,TaskBuilding_50
NoHouse,Building_187
TaskBuilding_50,NoHouse
NoHouse,TaskBuilding_50
Building_172,NoHouse
TaskBuilding_50,Building_172
NoHouse,TaskBuilding_50
TaskBuilding_50,NoHouse
NoHouse,TaskBuilding_50
NoHit,NoHouse
NoHouse,NoHit
Building_171,NoHouse
NoHouse,Building_171
TaskBuilding_41,NoHouse
NoHouse,TaskBuilding_41
NoHit,NoHouse
NoHouse,NoHit
Building_170,NoHouse
NoHouse,Building_170
Building_161,NoHouse
NoHouse,Building_161
Building_164,NoHouse
NoHouse,Building_164
TaskBuilding_40,NoHouse
NoHouse,TaskBuilding_40
Building_161,NoHouse
NoHouse,Building_161
Building_158,NoHouse
NoHouse,Building_158
Building_158,NoHouse
NoHouse,Building_158
Building_158,NoHouse
NoHouse,Building_158
Building_150,NoHouse
NoHouse,Building_150
TaskBuilding_26,NoHouse
Building_99,TaskBuilding_26
TaskBuilding_30,Building_99
NoHouse,TaskBuilding_30
Garage_98,NoHouse
NoHouse,Garage_98
Building_97,NoHouse
TaskBuilding_30,Building_97
Garage_98,TaskBuilding_30
NoHouse,Garage_98
Building_104,NoHouse
NoHouse,Building_104
TaskBuilding_26,NoHouse
NoHouse,TaskBuilding_26
Building_104,NoHouse
NoHouse,Building_104
Building_104,NoHouse
NoHouse,Building_104
Building_82,NoHouse
NoHouse,Building_82
Building_86,NoHouse
Building_85,Building_86
