Edge1,Edge2
TaskBuilding_35,Building_166
Building_166,TaskBuilding_35
Building_164,Building_166
TaskBuilding_35,Building_164
Building_157,TaskBuilding_35
Building_162,Building_157
Building_161,Building_162
Building_162,Building_161
Building_163,Building_162
Building_160,Building_163
HighSilo-TaskBuilding_49,Building_160
Building_163,HighSilo-TaskBuilding_49
TaskBuilding_46,Building_163
Building_164,TaskBuilding_46
Building_167,Building_164
Building_166,Building_167
Building_178,Building_166
TaskBuilding_40,Building_178
Building_171,TaskBuilding_40
Building_214,Building_171
TaskBuilding_47,Building_214
Building_214,TaskBuilding_47
Castle-TaskBuilding_56,Building_214
TaskBuilding_42,Castle-TaskBuilding_56
Building_168,TaskBuilding_42
Building_147,Building_168
Building_168,Building_147
Building_147,Building_168
crane_1,Building_147
Building_152,crane_1
Building_145,Building_152
Building_150,Building_145
Building_147,Building_150
Building_150,Building_147
TaskBuilding_35,Building_150
Building_145,TaskBuilding_35
TaskBuilding_33,Building_145
Building_145,TaskBuilding_33
NoHit,Building_145
Building_147,NoHit
TaskBuilding_31,Building_147
TaskBuilding_33,TaskBuilding_31
Building_143,TaskBuilding_33
Building_104,Building_143
Building_144,Building_104
Building_145,Building_144
TaskBuilding_31,Building_145
Building_145,TaskBuilding_31
Building_109,Building_145
TaskBuilding_28,Building_109
Building_128,TaskBuilding_28
Windmill-TaskBuilding_10_1,Building_128
Building_118,Windmill-TaskBuilding_10_1
Windmill-TaskBuilding_10_1,Building_118
Building_109,Windmill-TaskBuilding_10_1
TaskBuilding_27,Building_109
TaskBuilding_30,TaskBuilding_27
TaskBuilding_26,TaskBuilding_30
Windmill-TaskBuilding_10_1,TaskBuilding_26
Building_75,Windmill-TaskBuilding_10_1
Building_71,Building_75
Windmill-TaskBuilding_10_1,TaskBuilding_53
