Edge1,Edge2
TaskBuilding_44,NoHouse
NoHouse,TaskBuilding_44
Garage_235,NoHouse
TaskBuilding_44,Garage_235
NoHouse,TaskBuilding_44
TaskBuilding_44,NoHouse
Phone,TaskBuilding_44
NoHouse,Phone
Garage_235,NoHouse
Building_216,Garage_235
Building_220,Building_216
Garage_235,Building_220
NoHouse,Garage_235
Building_222,NoHouse
Building_219,Building_222
NoHouse,Building_219
Phone,NoHouse
Building_215,Phone
Building_219,Building_215
NoHouse,Building_219
TaskBuilding_7,NoHouse
NoHouse,TaskBuilding_7
Building_221,NoHouse
Building_222,Building_221
Building_220,Building_222
Building_215,Building_220
Building_220,Building_215
NoHouse,Building_220
Building_220,NoHouse
Building_215,Building_220
NoHouse,Building_215
Building_216,NoHouse
NoHouse,Building_216
Building_216,NoHouse
NoHouse,Building_216
crane_2,NoHouse
NoHouse,crane_2
TaskBuilding_53,NoHouse
NoHouse,TaskBuilding_53
Phone,NoHouse
TaskBuilding_53,Phone
NoHouse,TaskBuilding_53
TaskBuilding_53,NoHouse
NoHouse,TaskBuilding_53
TaskBuilding_53,NoHouse
NoHouse,TaskBuilding_53
TaskBuilding_53,NoHouse
