Edge1,Edge2
NoHouse,NoHouse
Phone,NoHouse
NoHouse,Phone
Hand,NoHouse
NoHouse,Hand
House_10,NoHouse
Building_61,House_10
NoHouse,Building_61
Building_64,NoHouse
NoHouse,Building_64
TaskBuilding_15,NoHouse
Building_83,TaskBuilding_15
NoHouse,Building_83
Phone,NoHouse
TaskBuilding_15,Phone
Church-TaskBuilding_16,TaskBuilding_15
Building_67,Church-TaskBuilding_16
TaskBuilding_11,Building_67
Building_83,TaskBuilding_11
TaskBuilding_15,Building_83
NoHouse,TaskBuilding_15
Building_84,NoHouse
TaskBuilding_15,Building_84
Building_83,TaskBuilding_15
Church-TaskBuilding_16,Building_83
Building_83,Church-TaskBuilding_16
Building_84,Building_83
TaskBuilding_15,Building_84
Building_83,TaskBuilding_15
NoHouse,Building_83
Building_84,NoHouse
NoHouse,Building_84
Building_85,NoHouse
Building_84,Building_85
TaskBuilding_15,Building_84
Building_88,TaskBuilding_15
TaskBuilding_15,Building_88
Building_84,TaskBuilding_15
Building_85,Building_84
NoHouse,Building_85
Building_80,NoHouse
NoHouse,Building_80
Building_96,NoHouse
NoHouse,Building_96
NoHit,NoHouse
NoHouse,NoHit
TaskBuilding_14,NoHouse
NoHouse,TaskBuilding_14
Building_105,NoHouse
Building_86,Building_105
NoHouse,Building_86
TaskBuilding_23,NoHouse
Building_96,TaskBuilding_23
NoHouse,Building_96
Building_96,NoHouse
NoHouse,Building_96
Building_96,NoHouse
Building_97,Building_96
Building_108,Building_97
Building_104,Building_108
Building_113,Building_104
TaskBuilding_17,Building_113
NoHouse,TaskBuilding_17
Church-TaskBuilding_16,NoHouse
NoHouse,Church-TaskBuilding_16
Church-TaskBuilding_16,NoHouse
Building_104,Church-TaskBuilding_16
TaskBuilding_3,Building_104
Building_108,TaskBuilding_3
Building_106,Building_108
Building_108,Building_106
NoHouse,Building_108
TaskBuilding_26,NoHouse
TaskBuilding_24,TaskBuilding_26
NoHouse,TaskBuilding_24
Building_111,NoHouse
Building_112,Building_111
Building_114,Building_112
TaskBuilding_24,Building_114
Building_114,TaskBuilding_24
TaskBuilding_24,Building_114
Building_108,TaskBuilding_24
Building_109,Building_108
TaskBuilding_30,Building_109
Building_150,TaskBuilding_30
Building_109,Building_150
NoHouse,Building_109
TaskBuilding_28,NoHouse
Building_122,TaskBuilding_28
Building_229,Building_122
Building_152,Building_229
TaskBuilding_39,Building_152
Building_157,TaskBuilding_39
NoHouse,Building_157
Building_158,NoHouse
NoHouse,Building_158
Building_144,NoHouse
TaskBuilding_31,Building_144
Building_154,TaskBuilding_31
NoHouse,Building_154
Building_148,NoHouse
Building_158,Building_148
NoHouse,Building_158
Building_100,NoHouse
Building_157,Building_100
TaskBuilding_35,Building_157
Building_162,TaskBuilding_35
NoHouse,Building_162
Building_93,NoHouse
NoHouse,Building_93
TaskBuilding_34,NoHouse
NoHouse,TaskBuilding_34
Building_158,NoHouse
Building_157,Building_158
TaskBuilding_35,Building_157
Building_166,TaskBuilding_35
NoHouse,Building_166
TaskBuilding_35,NoHouse
Building_157,TaskBuilding_35
Building_158,Building_157
TaskBuilding_34,Building_158
NoHouse,TaskBuilding_34
TaskBuilding_34,NoHouse
Building_158,TaskBuilding_34
Building_162,Building_158
NoHouse,Building_162
Building_93,NoHouse
Building_92,Building_93
NoHouse,Building_92
Building_176,NoHouse
TaskBuilding_34,Building_176
Building_93,TaskBuilding_34
Building_102,Building_93
NoHouse,Building_102
TaskBuilding_29,NoHouse
NoHouse,TaskBuilding_29
Building_92,NoHouse
NoHouse,Building_92
Building_92,NoHouse
NoHouse,Building_92
Building_176,NoHouse
TaskBuilding_46,Building_176
Building_160,TaskBuilding_46
NoHouse,Building_160
Building_160,NoHouse
NoHouse,Building_160
TaskBuilding_34,NoHouse
Building_159,TaskBuilding_34
Building_160,Building_159
Building_164,Building_160
Building_161,Building_164
NoHouse,Building_161
Building_160,NoHouse
Building_161,Building_160
Building_149,Building_161
TaskBuilding_46,Building_149
NoHouse,TaskBuilding_46
TaskBuilding_40,NoHouse
NoHouse,TaskBuilding_40
House_49,NoHouse
NoHouse,House_49
Building_170,NoHouse
Building_163,Building_170
Building_164,Building_163
NoHouse,Building_164
Building_163,NoHouse
TaskBuilding_52,Building_163
TaskBuilding_46,TaskBuilding_52
NoHouse,TaskBuilding_46
Building_211,NoHouse
Castle-TaskBuilding_56,Building_211
Building_183,Castle-TaskBuilding_56
Building_182,Building_183
Building_181,Building_182
Building_180,Building_181
Building_184,Building_180
NoHouse,Building_184
Building_170,NoHouse
Building_165,Building_170
Building_164,Building_165
Building_165,Building_164
NoHouse,Building_165
TaskBuilding_35,NoHouse
NoHouse,TaskBuilding_35
TaskBuilding_35,NoHouse
NoHouse,TaskBuilding_35
TaskBuilding_35,NoHouse
NoHouse,TaskBuilding_35
TaskBuilding_35,NoHouse
Building_162,TaskBuilding_35
TaskBuilding_35,Building_162
NoHouse,TaskBuilding_35
TaskBuilding_35,NoHouse
NoHouse,TaskBuilding_35
Building_98,NoHouse
NoHouse,Building_98
Building_98,NoHouse
NoHouse,Building_98
Building_98,NoHouse
NoHouse,Building_98
Building_98,NoHouse
NoHouse,Building_98
Building_98,NoHouse
NoHouse,Building_98
Building_122,NoHouse
Building_98,Building_122
NoHouse,Building_98
Garage_98,NoHouse
NoHouse,Garage_98
Building_107,NoHouse
Building_110,Building_107
NoHouse,Building_110
Building_107,NoHouse
NoHouse,Building_107
Building_110,NoHouse
TaskBuilding_1,Building_110
Building_110,TaskBuilding_1
NoHouse,Building_110
Building_110,NoHouse
NoHouse,Building_110
Building_combined_115_116,NoHouse
NoHouse,Building_combined_115_116
