Edge1,Edge2
NoHouse,NoHouse
Hand,NoHouse
NoHouse,Hand
Hand,NoHouse
NoHouse,Hand
Building_103,NoHouse
NoHouse,Building_103
Building_94,NoHouse
NoHouse,Building_94
Building_91,NoHouse
TaskBuilding_19,Building_91
NoHouse,TaskBuilding_19
Building_91,NoHouse
TaskBuilding_19,Building_91
Building_91,TaskBuilding_19
NoHouse,Building_91
House_10,NoHouse
NoHouse,House_10
TaskBuilding_18,NoHouse
NoHouse,TaskBuilding_18
TaskBuilding_14,NoHouse
NoHouse,TaskBuilding_14
TaskBuilding_18,NoHouse
Building_96,TaskBuilding_18
NoHouse,Building_96
Building_95,NoHouse
TaskBuilding_18,Building_95
NoHouse,TaskBuilding_18
Building_97,NoHouse
Building_96,Building_97
NoHouse,Building_96
TaskBuilding_14,NoHouse
NoHouse,TaskBuilding_14
Building_97,NoHouse
NoHouse,Building_97
House_10,NoHouse
NoHouse,House_10
Building_89,NoHouse
NoHouse,Building_89
House_10,NoHouse
NoHouse,House_10
Building_72,NoHouse
Building_60,Building_72
NoHouse,Building_60
Building_72,NoHouse
NoHouse,Building_72
Building_68,NoHouse
Building_72,Building_68
Building_68,Building_72
NoHouse,Building_68
Building_68,NoHouse
TaskBuilding_9,Building_68
NoHouse,TaskBuilding_9
Building_60,NoHouse
TaskBuilding_9,Building_60
NoHouse,TaskBuilding_9
House_10,NoHouse
NoHouse,House_10
Building_68,NoHouse
Garage_86,Building_68
NoHouse,Garage_86
Garage_86,NoHouse
NoHouse,Garage_86
Phone,NoHouse
Hand,Phone
Phone,Hand
NoHouse,Phone
Building_64,NoHouse
NoHouse,Building_64
Building_64,NoHouse
NoHouse,Building_64
TaskBuilding_12,NoHouse
NoHouse,TaskBuilding_12
Building_64,NoHouse
NoHouse,Building_64
TaskBuilding_1,NoHouse
TaskBuilding_11,TaskBuilding_1
TaskBuilding_1,TaskBuilding_11
NoHouse,TaskBuilding_1
TaskBuilding_1,NoHouse
NoHouse,TaskBuilding_1
TaskBuilding_1,NoHouse
NoHouse,TaskBuilding_1
TaskBuilding_1,NoHouse
NoHouse,TaskBuilding_1
TaskBuilding_1,NoHouse
NoHouse,TaskBuilding_1
TaskBuilding_1,NoHouse
NoHouse,TaskBuilding_1
TaskBuilding_1,NoHouse
NoHouse,TaskBuilding_1
Phone,NoHouse
NoHouse,Phone
TaskBuilding_1,NoHouse
NoHouse,TaskBuilding_1
TaskBuilding_1,NoHouse
NoHouse,NoHouse
