Edge1,Edge2
NoHouse,NoHouse
Hand,NoHouse
NoHouse,Hand
Building_174,NoHouse
Building_186,Building_174
NoHouse,Building_186
Building_194,NoHouse
NoHouse,Building_194
House_49,NoHouse
NoHouse,House_49
HighSilo-TaskBuilding_49,NoHouse
NoHouse,HighSilo-TaskBuilding_49
TaskBuilding_51,NoHouse
NoHouse,TaskBuilding_51
TaskBuilding_46,NoHouse
NoHouse,TaskBuilding_46
TaskBuilding_50,NoHouse
NoHouse,TaskBuilding_50
Building_212,NoHouse
TaskBuilding_52,Building_212
NoHouse,TaskBuilding_52
Building_212,NoHouse
TaskBuilding_50,Building_212
NoHouse,TaskBuilding_50
TaskBuilding_41,NoHouse
TaskBuilding_46,TaskBuilding_41
NoHouse,TaskBuilding_46
Building_202,NoHouse
NoHouse,Building_202
Building_194,NoHouse
Building_195,Building_194
Building_192,Building_195
Building_198,Building_192
NoHouse,Building_198
Building_208,NoHouse
NoHouse,Building_208
Building_208,NoHouse
Building_199,Building_208
TaskBuilding_55,Building_199
NoHouse,TaskBuilding_55
Building_199,NoHouse
NoHouse,Building_199
Building_200,NoHouse
Building_195,Building_200
Building_208,Building_195
NoHouse,Building_208
Building_199,NoHouse
Building_207,Building_199
Building_209,Building_207
NoHouse,Building_209
Building_209,NoHouse
Building_210,Building_209
Building_215,Building_210
Building_208,Building_215
Building_204,Building_208
NoHouse,Building_204
Building_213,NoHouse
Building_199,Building_213
NoHouse,Building_199
Building_214,NoHouse
NoHouse,Building_214
Building_211,NoHouse
TaskBuilding_8,Building_211
NoHouse,TaskBuilding_8
Building_212,NoHouse
NoHouse,Building_212
Building_215,NoHouse
Building_154,Building_215
NoHouse,Building_154
Building_220,NoHouse
NoHouse,Building_220
Building_226,NoHouse
Building_220,Building_226
TaskBuilding_45,Building_220
Garage_235,TaskBuilding_45
NoHouse,Garage_235
TaskBuilding_43,NoHouse
NoHouse,TaskBuilding_43
Building_229,NoHouse
NoHouse,Building_229
Building_226,NoHouse
NoHouse,Building_226
Building_235,NoHouse
Building_236,Building_235
NoHouse,Building_236
Building_231,NoHouse
Building_229,Building_231
Building_226,Building_229
Building_233,Building_226
NoHouse,Building_233
TaskBuilding_45,NoHouse
NoHouse,TaskBuilding_45
Building_220,NoHouse
NoHouse,NoHouse
