Edge1,Edge2
NoHouse,NoHouse
Phone,NoHouse
NoHouse,Phone
Church-TaskBuilding_16,NoHouse
NoHouse,Church-TaskBuilding_16
TaskBuilding_11,NoHouse
NoHouse,TaskBuilding_11
TaskBuilding_12,NoHouse
NoHouse,TaskBuilding_12
TaskBuilding_12,NoHouse
NoHouse,TaskBuilding_12
TaskBuilding_12,NoHouse
NoHouse,TaskBuilding_12
Building_58,NoHouse
Building_61,Building_58
NoHouse,Building_61
TaskBuilding_9,NoHouse
NoHouse,TaskBuilding_9
TaskBuilding_9,NoHouse
NoHouse,TaskBuilding_9
TaskBuilding_9,NoHouse
NoHouse,TaskBuilding_9
Hand,NoHouse
TaskBuilding_9,Hand
NoHouse,NoHouse
