ColliderName,Samples,timeDiff,Index
NoHouse,32,0.4057285785675049,0
Building_162,11,0.15772795677185059,1
Building_161,3,0.05555224418640137,2
NoHit,2,0.0441436767578125,3
NoHouse,16,0.22220873832702637,4
NoHit,3,0.06596779823303223,5
TaskBuilding_35,160,2.6878252029418945,6
NoHouse,11,0.19988775253295898,7
TaskBuilding_35,8,0.10019207000732422,8
NoHouse,10,0.16616034507751465,9
TaskBuilding_35,256,4.340497255325317,10
NoHouse,14,0.28867173194885254,11
Building_161,20,0.3124809265136719,12
NoHouse,2,0.03571152687072754,13
TaskBuilding_35,1,0.020335912704467773,14
NoHouse,1,0.022320032119750977,15
TaskBuilding_35,8,0.12201547622680664,16
NoHouse,39,0.5882565975189209,17
Building_162,7,0.09919977188110352,18
Building_161,2,0.03372931480407715,19
NoHouse,6,0.07687902450561523,20
TaskBuilding_35,74,1.0788004398345947,21
NoHouse,6,0.11159992218017578,22
Building_171,2,0.0441439151763916,23
NoHouse,1,0.011408090591430664,24
Building_171,2,0.0441439151763916,25
NoHouse,3,0.05505633354187012,26
Building_166,26,0.4106879234313965,27
Building_168,1,0.011408090591430664,28
Building_167,1,0.022320032119750977,29
Building_168,1,0.010911941528320312,30
Building_167,1,0.011407852172851562,31
Building_168,2,0.0441441535949707,32
Building_167,1,0.011407613754272461,33
Building_166,1,0.02182459831237793,34
Building_167,1,0.011407852172851562,35
Building_166,1,0.021824121475219727,36
Building_167,5,0.07836794853210449,37
Building_168,1,0.010911941528320312,38
Building_167,1,0.010912656784057617,39
Building_168,1,0.011407613754272461,40
NoHouse,1,0.010911703109741211,41
Building_168,1,0.011408090591430664,42
NoHouse,1,0.010911703109741211,43
Building_167,2,0.033727407455444336,44
Building_166,14,0.23262453079223633,45
Building_168,1,0.022320270538330078,46
TaskBuilding_42,1,0.011408329010009766,47
NoHouse,1,0.021823883056640625,48
Building_155,2,0.03323221206665039,49
Building_154,25,0.4449117183685303,50
NoHouse,3,0.055554866790771484,51
Building_154,1,0.010909318923950195,52
NoHouse,2,0.022320270538330078,53
Building_154,4,0.06646442413330078,54
Building_153,1,0.01140737533569336,55
TaskBuilding_39,2,0.03323221206665039,56
Building_140,2,0.021824121475219727,57
TaskBuilding_39,1,0.011407613754272461,58
Building_140,1,0.02232050895690918,59
TaskBuilding_39,4,0.07787156105041504,60
Building_140,1,0.021824121475219727,61
Building_152,12,0.21030449867248535,62
NoHouse,16,0.22220730781555176,63
Building_144,1,0.010912179946899414,64
Building_150,23,0.42308831214904785,65
NoHit,4,0.0441441535949707,66
Building_144,5,0.06646370887756348,67
NoHit,1,0.010911941528320312,68
Building_150,2,0.022320032119750977,69
Building_151,1,0.010911941528320312,70
NoHouse,55,0.9557931423187256,71
NoHit,18,0.29958343505859375,72
crane_1,11,0.1666560173034668,73
NoHit,4,0.06646394729614258,80
NoHouse,2,0.03372788429260254,81
NoHit,5,0.07737612724304199,82
crane_1,6,0.18649601936340332,83
NoHit,3,0.04463958740234375,86
Building_166,5,0.06646490097045898,87
NoHit,1,0.02232050895690918,88
NoHouse,6,0.07787156105041504,89
NoHit,17,0.25494384765625,92
Building_164,1,0.011407613754272461,93
TaskBuilding_35,55,0.8799047470092773,94
NoHouse,14,0.18848013877868652,95
Building_166,123,1.8768646717071533,96
NoHouse,10,0.12201595306396484,97
TaskBuilding_42,1,0.011407852172851562,98
Building_173,3,0.06646370887756348,99
NoHouse,1,0.010912418365478516,100
TaskBuilding_42,1,0.011407852172851562,101
Building_173,1,0.021824121475219727,102
NoHouse,3,0.05555248260498047,103
TaskBuilding_42,2,0.03372764587402344,104
NoHouse,25,0.3764638900756836,105
Building_155,10,0.16615986824035645,106
NoHouse,3,0.06646466255187988,107
Building_155,2,0.021823406219482422,108
NoHouse,1,0.011904478073120117,109
Building_155,1,0.021824121475219727,110
NoHouse,2,0.021823406219482422,111
Building_155,2,0.03372907638549805,112
crane_1,17,0.2668478488922119,113
TaskBuilding_43,1,0.021823644638061523,114
NoHit,2,0.021824121475219727,115
NoHouse,1,0.010911703109741211,116
Building_167,1,0.011903762817382812,117
NoHouse,3,0.044144630432128906,118
Building_166,94,1.5554561614990234,119
Building_168,1,0.010912418365478516,120
TaskBuilding_42,2,0.033231496810913086,121
Building_173,1,0.021824121475219727,122
NoHouse,1,0.011408090591430664,123
Building_173,3,0.06646466255187988,124
NoHouse,3,0.058031558990478516,125
Building_173,1,0.019343852996826172,126
NoHouse,1,0.011407613754272461,127
Building_173,7,0.10019230842590332,128
NoHouse,21,0.35563206672668457,129
Building_154,22,0.35563206672668457,130
Building_155,2,0.0441439151763916,131
NoHouse,31,0.4439201354980469,132
Building_173,1,0.02182459831237793,133
TaskBuilding_42,1,0.011407613754272461,134
Building_167,1,0.021824121475219727,135
NoHouse,1,0.011408329010009766,136
Building_167,11,0.2117910385131836,137
NoHouse,1,0.02182483673095703,138
Building_167,3,0.04463958740234375,139
NoHouse,1,0.022320032119750977,140
Building_167,1,0.022320032119750977,141
NoHouse,1,0.021824121475219727,142
Building_167,18,0.29958391189575195,143
NoHouse,1,0.011408567428588867,144
Building_167,26,0.4444155693054199,145
Building_169,5,0.08878397941589355,146
Building_167,9,0.1775681972503662,147
Building_169,3,0.03372812271118164,148
Building_166,1,0.021823644638061523,149
Building_169,19,0.34472012519836426,150
NoHouse,14,0.25544023513793945,151
Building_169,1,0.022320270538330078,152
NoHouse,1,0.021823644638061523,153
Building_169,2,0.022816181182861328,154
NoHouse,3,0.03273630142211914,155
Building_167,8,0.15524792671203613,156
NoHouse,65,0.9890248775482178,157
Building_166,7,0.12201523780822754,158
NoHouse,1,0.010912179946899414,159
Building_166,1,0.011407852172851562,160
NoHouse,16,0.2549443244934082,161
Building_171,14,0.24452781677246094,162
NoHouse,79,1.2995202541351318,163
Building_166,40,0.6765449047088623,164
NoHouse,2,0.022815465927124023,165
Building_166,1,0.010912418365478516,166
NoHouse,4,0.04463982582092285,167
Building_166,7,0.07787179946899414,168
NoHouse,113,1.8327209949493408,169
Building_166,3,0.055055856704711914,170
Building_164,1,0.011407852172851562,171
NoHouse,14,0.1998882293701172,172
Building_164,5,0.0882878303527832,173
NoHouse,1,0.011408090591430664,174
Building_164,6,0.08878397941589355,175
NoHouse,5,0.08878397941589355,176
Building_164,3,0.03323197364807129,177
NoHouse,3,0.05604815483093262,178
TaskBuilding_35,1,0.021823883056640625,179
NoHouse,1,0.011408329010009766,180
TaskBuilding_35,11,0.19988751411437988,181
NoHouse,1,0.021824121475219727,182
TaskBuilding_35,1,0.022319793701171875,183
Building_166,17,0.22220826148986816,184
TaskBuilding_35,2,0.02232050895690918,185
NoHouse,7,0.10019159317016602,186
House_49,1,0.010912418365478516,187
HighSilo-TaskBuilding_49,1,0.010912179946899414,188
House_49,3,0.04463982582092285,189
Building_165,28,0.4667360782623291,190
NoHit,1,0.021824121475219727,191
Building_166,8,0.11110377311706543,192
Building_171,2,0.021824359893798828,193
NoHouse,1,0.011407613754272461,194
Building_171,8,0.12201619148254395,195
Building_169,35,0.5332002639770508,196
NoHit,2,0.022319793701171875,197
Building_174,2,0.03323245048522949,198
NoHit,1,0.022815942764282227,199
Building_169,4,0.05505561828613281,200
Building_212,1,0.021823883056640625,203
Building_169,51,0.7444963455200195,204
NoHouse,1,0.011408090591430664,205
Building_167,41,0.6105763912200928,206
TaskBuilding_43,1,0.011407852172851562,207
Building_155,1,0.010911941528320312,208
NoHouse,32,0.4999682903289795,209
Building_166,1,0.010911703109741211,210
NoHouse,8,0.1557447910308838,211
Building_166,49,0.6998565196990967,212
Building_145,3,0.06646299362182617,213
NoHouse,5,0.07787203788757324,214
Building_145,2,0.03323221206665039,215
TaskBuilding_33,1,0.010912179946899414,216
Building_152,3,0.0441431999206543,217
NoHouse,1,0.012226104736328125,218
Building_152,4,0.06564664840698242,219
NoHouse,1,0.022320032119750977,220
Building_152,1,0.010911941528320312,221
NoHouse,80,1.2881126403808594,222
Building_143,5,0.0783681869506836,223
NoHouse,57,0.9324803352355957,224
Building_155,12,0.18897652626037598,225
NoHouse,3,0.033231258392333984,226
Building_155,25,0.36704015731811523,227
TaskBuilding_43,6,0.12201595306396484,228
Building_156,1,0.022320270538330078,229
TaskBuilding_43,4,0.06646370887756348,230
NoHouse,1,0.010912418365478516,231
TaskBuilding_43,1,0.01140737533569336,232
NoHouse,28,0.43300843238830566,233
TaskBuilding_48,1,0.011408090591430664,234
Building_156,1,0.022320032119750977,235
Building_155,2,0.0441441535949707,236
Building_156,1,0.022319793701171875,237
Building_155,6,0.10019207000732422,238
Building_156,1,0.022319793701171875,239
Building_155,37,0.577343225479126,240
NoHouse,26,0.4216010570526123,241
Building_155,5,0.09969615936279297,242
NoHouse,3,0.04463982582092285,243
Building_155,2,0.04464006423950195,244
NoHouse,3,0.05555248260498047,245
Building_154,20,0.3119838237762451,246
Building_155,2,0.022319793701171875,247
NoHouse,3,0.03372812271118164,248
Building_155,3,0.04464006423950195,249
NoHouse,5,0.055552005767822266,250
Building_155,3,0.03323197364807129,251
NoHouse,1,0.011407852172851562,252
Building_155,1,0.021823406219482422,253
NoHouse,3,0.04464077949523926,254
Building_155,2,0.044144392013549805,255
TaskBuilding_43,1,0.011407613754272461,256
NoHouse,40,0.5634562969207764,257
