ColliderName,Samples,timeDiff,Index,HMD_x,HMD_y,HMD_z
NoHouse,21,0.31743955612182617,0,-59.19419860839844,2.409918546676636,34.740219116210945
TaskBuilding_35,25,0.39183998107910156,1,-59.19337463378906,2.410319566726685,34.741233825683594
NoHouse,53,0.8213748931884766,2,-59.19337463378906,2.4105496406555176,34.74217987060547
Building_164,36,0.511376142501831,3,-59.19197082519531,2.41177499294281,34.74117660522461
TaskBuilding_35,3,0.05555105209350586,4,-59.19212341308594,2.411860942840576,34.741897583007805
NoHouse,4,0.05555248260498047,5,-59.192291259765625,2.4117261171340942,34.742156982421875
TaskBuilding_35,6,0.11060786247253418,6,-59.19233703613281,2.411670684814453,34.742523193359375
NoHouse,3,0.04463982582092285,7,-59.19215393066406,2.411755084991455,34.74262237548828
TaskBuilding_35,4,0.07787203788757324,8,-59.19187927246094,2.41187059879303,34.74260711669922
NoHouse,5,0.07737612724304199,9,-59.19169616699219,2.4119973182678223,34.742630004882805
TaskBuilding_35,4,0.07787227630615234,10,-59.19151306152344,2.412029504776001,34.74272155761719
NoHouse,6,0.08878302574157715,11,-59.19126892089844,2.4120949506759644,34.742862701416016
TaskBuilding_35,3,0.04464077949523926,12,-59.19090270996094,2.412416219711304,34.743446350097656
NoHouse,4,0.08878397941589355,13,-59.190704345703125,2.412541627883911,34.74417495727539
TaskBuilding_35,3,0.06646323204040527,14,-59.19050598144531,2.4126017093658447,34.744674682617195
NoHouse,79,1.233055591583252,15,-59.19105529785156,2.412907600402832,34.745071411132805
TaskBuilding_35,97,1.5876944065093994,16,-63.09062194824219,2.573056697845459,36.01878356933594
NoHouse,5,0.06646466255187988,17,-65.68635559082031,2.785662651062012,36.956336975097656
TaskBuilding_35,10,0.15574383735656738,18,-65.9698486328125,2.784101963043213,37.065486907958984
NoHouse,71,1.1770076751708984,19,-67.29548645019531,2.7820963859558105,37.205543518066406
Building_166,57,0.8779189586639404,20,-70.23606872558594,2.7483787536621094,36.09097290039063
