ColliderName,Samples,timeDiff,Index
TaskBuilding_35,19,0.2157604694366455,0
NoHouse,24,0.34769606590270996,1
TaskBuilding_35,111,1.8649604320526123,2
NoHouse,2,0.044640302658081055,3
TaskBuilding_35,7,0.1215200424194336,4
NoHouse,6,0.07836794853210449,5
TaskBuilding_35,73,1.2216484546661377,6
Building_164,1,0.010912179946899414,7
NoHit,0.011407852172851562,,8
Building_171,1,0.010911703109741211,9
Building_166,14,0.23163294792175293,10
Building_171,1,0.011407613754272461,11
Building_166,14,0.26635241508483887,12
Building_167,2,0.03372788429260254,13
Building_166,1,0.022319793701171875,14
Building_167,1,0.021823883056640625,15
Building_166,14,0.2559363842010498,16
TaskBuilding_42,1,0.021823644638061523,17
crane_2,1,0.011408329010009766,18
NoHouse,2,0.03323197364807129,19
Building_215,9,0.1334238052368164,20
NoHouse,1,0.021823883056640625,21
Building_215,2,0.03323221206665039,22
Castle-TaskBuilding_56,1,0.011408329010009766,23
Building_215,2,0.03323197364807129,24
Castle-TaskBuilding_56,1,0.010911703109741211,25
crane_2,2,0.022320270538330078,26
Building_215,1,0.021824121475219727,27
Building_216,1,0.011407852172851562,28
TaskBuilding_43,1,0.021823406219482422,29
NoHouse,1,0.011408329010009766,30
TaskBuilding_43,1,0.022319793701171875,31
NoHouse,1,0.010912179946899414,32
TaskBuilding_43,2,0.022320270538330078,33
NoHouse,1,0.02232050895690918,34
TaskBuilding_43,1,0.021823406219482422,35
Building_217,1,0.022319793701171875,36
TaskBuilding_53,2,0.044640302658081055,37
TaskBuilding_43,2,0.0441436767578125,38
Building_155,1,0.010912179946899414,39
NoHouse,1,0.011408090591430664,40
Building_154,1,0.021824121475219727,41
crane_1,9,0.16814398765563965,42
Building_154,1,0.00991964340209961,43
crane_1,3,0.03372836112976074,44
Building_154,1,0.010911226272583008,45
NoHouse,1.0892798900604248,0.011408805847167969,46
Building_154,5,0.09969854354858398,49
NoHit,0.02231764793395996,,50
crane_1,13,0.19988751411437988,51
NoHit,0.010912656784057617,,52
NoHouse,2,0.03372836112976074,53
NoHit,17,0.2767670154571533,54
Building_166,10,0.2108006477355957,55
NoHit,0.05555248260498047,,56
TaskBuilding_35,37,0.6120638847351074,57
NoHit,0.03372788429260254,,58
Building_161,13,0.2107999324798584,59
Building_162,15,0.22270417213439941,60
Building_158,1,0.021823883056640625,61
Building_157,2,0.044640302658081055,62
Building_101,7,0.13193631172180176,63
NoHit,0.09969544410705566,,64
TaskBuilding_5,8,0.11060810089111328,65
Building_98,1,0.023808002471923828,66
NoHouse,1,0.009423255920410156,67
TaskBuilding_5,1,0.011408805847167969,68
Building_149,1,0.022320032119750977,69
NoHouse,1,0.022320032119750977,70
Building_146,2,0.03323245048522949,71
NoHouse,4,0.05952048301696777,72
Building_146,1,0.017854928970336914,73
NoHouse,2,0.0441439151763916,74
Building_151,8,0.1587202548980713,75
Building_150,1,0.01884770393371582,76
NoHouse,2,0.04464101791381836,77
Building_152,5,0.09969568252563477,78
NoHouse,2,0.033727407455444336,79
Building_152,3,0.0441439151763916,80
Building_140,2,0.021824121475219727,81
TaskBuilding_39,1,0.011408090591430664,82
Building_140,3,0.04464006423950195,83
Building_152,5,0.08977651596069336,84
NoHouse,2,0.03372788429260254,85
Building_153,2,0.0441434383392334,86
NoHouse,15,0.25643205642700195,87
NoHit,16,0.2772645950317383,88
NoHouse,5,0.06696009635925293,89
NoHit,0.09969592094421387,,90
Building_151,15,0.21328258514404297,91
NoHouse,3,0.04116511344909668,92
Building_149,13,0.16616058349609375,93
NoHit,0.06646347045898438,,94
NoHouse,3.077871561050415,0.044144630432128906,95
Building_162,1,0.010911941528320312,98
NoHouse,1,0.011408090591430664,99
Building_162,12,0.1775684356689453,100
NoHit,0.06646370887756348,,101
TaskBuilding_35,9.577458143234253,0.0441441535949707,102
NoHouse,1.0887837409973145,0.010911941528320312,107
NoHit,0.011408329010009766,,110
Building_176,3,0.0441439151763916,111
NoHit,0.010911941528320312,,112
Building_160,2,0.022320270538330078,113
Building_176,1,0.011408090591430664,114
Building_161,1,0.010911941528320312,115
Building_160,1,0.010912179946899414,116
Building_161,1,0.011407852172851562,117
Building_160,1,0.010911941528320312,118
TaskBuilding_35,12,0.18897604942321777,119
NoHouse,32,0.5332005023956299,120
Building_161,1,0.01140737533569336,121
NoHouse,37,0.5773437023162842,122
TaskBuilding_35,62,0.8436970710754395,123
NoHouse,1,0.022320032119750977,124
Building_161,1,0.021824121475219727,125
Building_162,3,0.04463982582092285,126
NoHouse,1,0.021824121475219727,127
Building_162,1,0.011408329010009766,128
NoHouse,3,0.06646370887756348,129
Building_157,2,0.022319316864013672,130
NoHouse,1,0.011409282684326172,131
Building_157,2,0.033231496810913086,132
NoHouse,5,0.06646370887756348,133
Building_157,8,0.12201619148254395,134
NoHouse,19,0.3204159736633301,135
Building_100,2,0.044640541076660156,136
NoHouse,3,0.03372788429260254,137
Building_100,1,0.021824121475219727,138
NoHouse,9,0.14433598518371582,139
Building_97,1,0.011407613754272461,140
NoHouse,9,0.14384031295776367,141
