ColliderName,Samples,timeDiff,Index,HMD_x,HMD_y,HMD_z
NoHouse,13,0.1607036590576172,0,-59.17192077636719,2.398850917816162,34.750152587890625
TaskBuilding_35,117,1.8034532070159912,1,-59.09663391113281,2.4183568954467773,34.724349975585945
TaskBuilding_41,1,0.021824121475219727,2,-59.08876037597656,2.417752265930176,34.71474456787109
NoHouse,8,0.13292789459228516,3,-59.095001220703125,2.4153172969818115,34.714111328125
Building_166,2,0.03372812271118164,4,-59.10096740722656,2.4118926525115967,34.7105827331543
NoHouse,14,0.23262333869934082,5,-59.11439514160156,2.4076387882232666,34.69581604003906
TaskBuilding_42,5,0.07787203788757324,6,-59.12013244628906,2.407435655593872,34.676864624023445
NoHouse,3,0.0441436767578125,7,-59.37031555175781,2.4116032123565674,34.5804443359375
Building_217,2,0.022320270538330078,8,-59.69493103027344,2.416928291320801,34.44580078125
NoHouse,10,0.13391852378845215,9,-60.62815856933594,2.422425150871277,33.974395751953125
Building_215,2,0.04414534568786621,10,-61.35829162597656,2.4267470836639404,33.54981231689453
Building_167,4,0.05505633354187012,11,-61.65803527832031,2.4292941093444824,33.37655639648437
Building_166,1,0.022319316864013672,12,-61.97352600097656,2.4314842224121094,33.194381713867195
Building_167,9,0.12201619148254395,13,-62.62162780761719,2.436809539794922,32.828140258789055
NoHouse,5,0.088287353515625,14,-63.45448303222656,2.4439516067504883,32.374038696289055
Building_218,2,0.02281665802001953,15,-63.77302551269531,2.444341897964477,32.18186187744141
crane_1,7,0.11060667037963867,16,-64.36268615722656,2.443516492843628,31.75798034667969
Building_155,1,0.022321224212646484,17,-64.64445495605469,2.4334700107574463,31.25868988037109
crane_1,3,0.06646347045898438,18,-64.74015808105469,2.425490140914917,30.907470703125
NoHit,1,0.022319793701171875,19,-64.84086608886719,2.4165608882904053,30.534385681152344
NoHouse,3,0.03323197364807129,20,-64.93815612792969,2.4089722633361816,30.200454711914066
Building_166,52,0.7995500564575195,21,-68.06428527832031,2.431809425354004,29.268657684326172
Building_167,1,0.011409282684326172,22,-72.05427551269531,2.438183069229126,27.353286743164066
NoHouse,1,0.010911703109741211,23,-72.10987854003906,2.4333820343017583,27.18867492675781
Building_166,3,0.055555105209350586,24,-72.21253967285156,2.422030210494995,26.84235382080078
Building_167,1,0.010907888412475586,25,-72.29200744628906,2.4127299785614014,26.56279754638672
NoHouse,5,0.05604863166809082,26,-72.46485900878906,2.4024195671081543,26.17378234863281
Building_167,1,0.021823644638061523,27,-72.46784973144531,2.402876853942871,26.17436981201172
Building_166,113,1.8550374507904053,28,-78.63044738769531,2.4675450325012207,22.344215393066406
Building_167,5,0.09969544410705566,29,-79.79673767089844,2.4539597034454346,19.758445739746094
Building_168,1,0.010911941528320312,30,-79.82713317871094,2.45330023765564,19.690017700195312
TaskBuilding_42,11,0.22220730781555176,31,-79.82289123535156,2.4536969661712646,19.6846923828125
Building_173,2,0.04464006423950195,32,-80.02720642089844,2.450989246368408,19.34113311767578
