ColliderName,Samples,timeDiff,Index,HMD_x,HMD_y,HMD_z
Building_161,41,0.5971832275390625,0,-59.10707092285156,2.4378623962402344,34.770606994628906
Building_160,1,0.010911941528320312,5,-59.10777282714844,2.4362108707427983,34.77304077148437
NoHouse,37,0.5892472267150879,6,-59.10929870605469,2.435096263885498,34.771743774414055
TaskBuilding_35,296,4.652968883514404,7,-59.16107177734375,2.436055064201355,34.73473358154297
NoHit,1,0.02182292938232422,8,-59.18177795410156,2.436274528503418,34.730972290039055
Building_171,25,0.42209625244140625,9,-59.18547058105469,2.436262845993042,34.722518920898445
NoHouse,2,0.0441441535949707,10,-59.232574462890625,2.4368159770965576,34.67375946044922
Building_166,39,0.6333906650543213,11,-59.73890686035156,2.4323947429656982,34.047637939453125
Building_167,1,0.010911941528320312,12,-60.29777526855469,2.414514541625977,33.107704162597656
NoHouse,2,0.022319793701171875,13,-60.32633972167969,2.412436008453369,33.0472412109375
Building_167,1,0.010911941528320312,14,-60.33253479003906,2.411826610565185,33.03472900390625
NoHouse,2,0.022816181182861328,15,-60.335723876953125,2.411496639251709,33.02810287475586
Building_167,5,0.07836771011352539,16,-60.34510803222656,2.410882472991944,33.00843048095703
Building_166,8,0.12052798271179199,17,-60.351837158203125,2.4104936122894287,32.993675231933594
Building_167,1,0.011408329010009766,18,-60.35310363769531,2.4104394912719727,32.989288330078125
TaskBuilding_42,2,0.022320032119750977,19,-60.35343933105469,2.4106208086013794,32.98857498168945
NoHouse,2,0.022320032119750977,20,-60.35382080078125,2.410799026489258,32.98666763305664
Building_215,1,0.022320270538330078,21,-60.35414123535156,2.410818099975586,32.98557281494141
NoHouse,1,0.010911703109741211,22,-60.35456848144531,2.411022424697876,32.98446655273437
Building_215,2,0.022319793701171875,23,-60.36015319824219,2.4112292528152466,32.984130859375
NoHouse,2,0.022319793701171875,24,-60.38041687011719,2.41185200214386,32.98762512207031
Building_215,1,0.021823883056640625,25,-60.40351867675781,2.412587404251098,32.993247985839844
NoHouse,3,0.055551767349243164,26,-60.51106262207031,2.4160196781158447,33.016738891601555
Building_215,3,0.04464077949523926,27,-60.61241149902344,2.419037103652954,33.03659820556641
NoHouse,11,0.1666548252105713,28,-60.98045349121094,2.427897453308105,33.099395751953125
TaskBuilding_42,1,0.010912418365478516,29,-61.20295715332031,2.4329774379730225,33.13298797607422
Building_166,41,0.555518627166748,30,-62.34849548339844,2.4524240493774414,33.07331085205078
Building_168,1,0.021824121475219727,31,-64.09989929199219,2.4671101570129395,32.12177276611328
TaskBuilding_42,1,0.022319793701171875,32,-64.19425964355469,2.467756748199463,32.063987731933594
