ColliderName,Samples,Time,Index,timeDiff
NoHouse,24,,0,0.30553627014160156
Building_162,4,,1,0.06646347045898438
NoHouse,2,,2,0.0332331657409668
Building_162,2,,3,0.03372693061828613
NoHouse,1,,4,0.011904001235961914
Building_162,12,,5,0.15624022483825684
NoHouse,27,,6,0.41118311882019043
Building_162,37,,7,0.5217914581298828
NoHouse,7,,8,0.13292765617370605
Building_162,44,,9,0.7003512382507324
NoHouse,61,,10,0.9205741882324219
TaskBuilding_27,25,,11,0.38787174224853516
NoHouse,1,,12,0.010911941528320312
TaskBuilding_27,3,,13,0.03372788429260254
NoHouse,4,,14,0.07787251472473145
Building_97,6,,15,0.09969449043273926
NoHouse,1,,16,0.011409521102905273
Building_97,6,,17,0.10019159317016602
TaskBuilding_30,2,,18,0.033231258392333984
NoHit,0.010911941528320312,,19,
NoHouse,1.3883671760559082,,20,0.010912418365478516
NoHit,0.13391947746276855,,31,
Building_149,31,,32,0.4885597229003906
NoHouse,1,,33,0.022320270538330078
Building_146,11,,34,0.14433526992797852
NoHouse,14,,35,0.2107996940612793
Building_151,31,,36,0.5103833675384521
NoHit,0.012400388717651367,,37,
NoHouse,2,,38,0.021823883056640625
NoHit,16,,39,0.23411130905151367
Building_151,3,,40,0.0441436767578125
NoHit,0.021824121475219727,,41,
NoHouse,38,,42,0.6115677356719971
Building_144,9,,43,0.1666550636291504
NoHouse,1,,44,0.011408567428588867
Building_144,31,,45,0.4776463508605957
Building_141,1,,46,0.010912656784057617
NoHouse,2,,47,0.02231907844543457
Building_152,26,,48,0.3774561882019043
Building_140,1,,49,0.022320270538330078
Building_153,1,,50,0.011407852172851562
NoHouse,2,,51,0.04464006423950195
Building_154,13,,52,0.23212766647338867
NoHit,0.022815942764282227,,53,
crane_1,1,,54,0.021824359893798828
NoHit,14,,55,0.2772634029388428
NoHouse,13,,56,0.1666550636291504
crane_1,1,,57,0.021824121475219727
Building_155,1,,58,0.022320032119750977
TaskBuilding_43,2,,59,0.022320032119750977
Building_155,2,,60,0.022319793701171875
NoHouse,1,,61,0.010911941528320312
crane_1,2,,62,0.023808002471923828
TaskBuilding_43,1,,63,0.009920120239257812
crane_1,3,,64,0.03273606300354004
TaskBuilding_43,1,,65,0.011408090591430664
NoHouse,1,,66,0.010911941528320312
TaskBuilding_43,1,,67,0.011408090591430664
NoHouse,1,,68,0.022320270538330078
Building_155,5,,69,0.06695938110351562
TaskBuilding_43,1,,70,0.011408090591430664
Building_155,6,,71,0.12201523780822754
crane_2,1,,72,0.02182483673095703
Castle-TaskBuilding_56,1,,73,0.01140737533569336
NoHouse,5,,74,0.055552005767822266
Castle-TaskBuilding_56,2,,75,0.044144392013549805
NoHit,0.022815465927124023,,76,
NoHouse,12,,77,0.22121572494506836
Castle-TaskBuilding_56,2,,78,0.033727407455444336
crane_2,6,,79,0.08828878402709961
NoHouse,15,,80,0.22220730781555176
Building_168,14,,81,0.2549436092376709
TaskBuilding_42,1,,82,0.011408090591430664
NoHouse,12,,83,0.22220778465270996
NoHit,0.23311996459960938,,84,
Building_166,60,,85,0.8109588623046875
NoHouse,4,,86,0.0773763656616211
Building_171,1,,87,0.022319793701171875
NoHouse,2,,88,0.033231496810913086
Building_171,2,,89,0.022319555282592773
NoHouse,3,,90,0.0441439151763916
Building_171,1,,91,0.022320270538330078
Building_166,37,,92,0.5778391361236572
NoHouse,11,,93,0.14433574676513672
TaskBuilding_35,112,,94,1.6888771057128906
NoHouse,7,,95,0.12201642990112305
TaskBuilding_35,50,,96,0.7772307395935059
NoHouse,12,,97,0.20038366317749023
TaskBuilding_35,7,,98,0.11110401153564453
NoHouse,10,,99,0.17806410789489746
TaskBuilding_35,100,,100,1.6992928981781006
NoHouse,33,,101,0.4885592460632324
Building_160,1,,102,0.022320032119750977
NoHouse,8,,103,0.1225118637084961
Building_160,2,,104,0.022319793701171875
Building_161,1,,105,0.021824359893798828
Building_162,35,,106,0.5773427486419678
Building_158,1,,107,0.011408329010009766
Building_157,7,,108,0.13292741775512695
Building_158,3,,109,0.044145822525024414
Building_157,3,,110,0.04364657402038574
Building_158,1,,111,0.011406898498535156
Building_157,8,,112,0.13292884826660156
Building_158,14,,113,0.2549433708190918
NoHouse,1,,114,0.022320032119750977
Building_158,4,,115,0.0441436767578125
NoHouse,1,,116,0.011408805847167969
Building_162,13,,117,0.22220730781555176
NoHouse,1,,118,0.010912179946899414
Building_158,1,,119,0.010911703109741211
NoHouse,1,,120,0.011408090591430664
Building_158,1,,121,0.022320032119750977
NoHouse,1,,122,0.010911226272583008
Building_158,1,,123,0.010912895202636719
NoHouse,6,,124,0.07787179946899414
Building_158,2,,125,0.044640302658081055
Building_162,3,,126,0.04463934898376465
Building_161,2,,127,0.02231907844543457
NoHouse,27.089775562286377,,128,0.47814440727233887
Building_176,6,,131,0.07787156105041504
Building_160,1,,132,0.021823644638061523
Building_161,1,,133,0.010912418365478516
NoHouse,9,,134,0.14433574676513672
Building_94,1,,135,0.022320032119750977
NoHit,0.021824121475219727,,136,
TaskBuilding_27,1,,137,0.020831823348999023
Building_94,1,,138,0.010911941528320312
TaskBuilding_27,1,,139,0.011408329010009766
Building_94,1,,140,0.022319555282592773
TaskBuilding_27,1,,141,0.010911941528320312
Building_101,1,,142,0.011408090591430664
Building_94,2,,143,0.03273582458496094
NoHouse,1,,144,0.011408329010009766
Building_94,1,,145,0.021823644638061523
TaskBuilding_27,1,,146,0.011408329010009766
Building_101,2,,147,0.022320270538330078
TaskBuilding_27,1,,148,0.022319555282592773
Building_100,28,,149,0.49947118759155273
TaskBuilding_27,28,,150,0.5217914581298828
Building_100,1,,151,0.010911941528320312
NoHouse,22,,152,0.36703944206237793
Building_100,1,,153,0.022319555282592773
TaskBuilding_27,16,,154,0.2802400588989258
Building_157,32,,155,0.5639510154724121
NoHouse,22,,156,0.3442225456237793
Building_157,2,,157,0.025296926498413086
Building_158,40,,158,0.5639514923095703
NoHouse,19,,159,0.34472012519836426
Building_162,45,,160,0.8114538192749023
NoHouse,21,,161,0.33380770683288574
Building_162,9,,162,0.16615939140319824
NoHouse,8,,163,0.11110401153564453
Building_157,2,,164,0.04414486885070801
NoHouse,4,,165,0.07787084579467773
Building_157,1,,166,0.022320270538330078
NoHouse,2,,167,0.03323173522949219
Building_157,2,,168,0.02232050895690918
NoHouse,1,,169,0.021823406219482422
Building_157,1,,170,0.011408090591430664
NoHouse,3,,171,0.04315185546875
Building_157,18,,172,0.29958391189575195
NoHouse,8,,173,0.13292741775512695
Building_157,41,,174,0.5118710994720459
Building_158,27,,175,0.4002718925476074
NoHouse,1,,176,0.010911941528320312
Building_162,182,,177,2.8331480026245117
NoHouse,11,,178,0.15574336051940918
Building_162,60,,179,0.9880306720733643
Building_158,30,,180,0.4989745616912842
Building_157,26,,181,0.37696003913879395
NoHit,0.055055856704711914,,182,
Building_162,27,,183,0.4235830307006836
NoHit,0.044640302658081055,,184,
HighSilo-TaskBuilding_49,3,,185,0.044640541076660156
NoHouse,1,,186,0.01140737533569336
HighSilo-TaskBuilding_49,2,,187,0.03323245048522949
NoHouse,2,,188,0.022319316864013672
HighSilo-TaskBuilding_49,1,,189,0.021824359893798828
NoHouse,2,,190,0.02232050895690918
HighSilo-TaskBuilding_49,2,,191,0.022319555282592773
NoHouse,2,,192,0.04463982582092285
Building_163,1,,193,0.02182459831237793
NoHouse,16,,194,0.25444698333740234
Building_163,3,,195,0.04463934898376465
TaskBuilding_46,1,,196,0.021824359893798828
TaskBuilding_35,46,,197,0.7206871509552002
NoHouse,48,,198,0.6790227890014648
House_49,2,,199,0.022320032119750977
NoHouse,6,,200,0.07787156105041504
House_49,1,,201,0.02232050895690918
NoHouse,2,,202,0.0441439151763916
Building_161,2,,203,0.033231496810913086
Building_162,18,,204,0.2117922306060791
Building_160,17,,205,0.24452733993530273
House_49,1,,206,0.011408090591430664
NoHouse,27,,207,0.4325113296508789
TaskBuilding_40,1,,208,0.011407852172851562
NoHouse,1,,209,0.021824359893798828
TaskBuilding_40,3,,210,0.05604743957519531
NoHouse,1,,211,0.02232050895690918
TaskBuilding_40,11,,212,0.19988727569580078
NoHouse,46,,213,0.7663195133209229
Building_162,38,,214,0.5887508392333984
NoHouse,72,,215,1.0311830043792725
Building_163,7,,216,0.10019135475158691
Building_178,2,,217,0.021823883056640625
NoHouse,2,,218,0.022816181182861328
Building_178,1,,219,0.021823644638061523
NoHouse,10,,220,0.1334238052368164
Building_178,1,,221,0.022319793701171875
NoHouse,1,,222,0.022320270538330078
Building_178,1,,223,0.021823883056640625
Building_163,18,,224,0.2891674041748047
NoHouse,3,,225,0.03273630142211914
Building_163,1,,226,0.010911703109741211
NoHouse,1,,227,0.010912418365478516
Building_163,16,,228,0.24403071403503418
Building_170,1,,229,0.02232050895690918
TaskBuilding_41,15,,230,0.26734375953674316
Building_164,25,,231,0.4208509922027588
TaskBuilding_35,16,,232,0.25618767738342285
NoHouse,6,,233,0.11060810089111328
TaskBuilding_35,39,,234,0.6110711097717285
NoHouse,8,,235,0.15524816513061523
Building_165,8,,236,0.16615915298461914
Building_164,62,,237,0.9334707260131836
Building_165,1,,238,0.02232074737548828
Building_164,1,,239,0.02182316780090332
Building_165,8,,240,0.11110377311706543
Building_164,1,,241,0.010912179946899414
Building_165,1,,242,0.011408090591430664
Building_164,31,,243,0.42209529876708984
Building_171,2,,244,0.022320032119750977
TaskBuilding_41,1,,245,0.010911941528320312
Building_170,2,,246,0.03323197364807129
NoHouse,51,,247,0.9002389907836914
Building_170,1,,248,0.022319793701171875
NoHouse,6,,249,0.08878374099731445
Building_170,1,,250,0.022319793701171875
NoHouse,1,,251,0.011408329010009766
Building_170,2,,252,0.03323197364807129
NoHouse,1,,253,0.010912179946899414
Building_170,7,,254,0.11110377311706543
NoHouse,3,,255,0.06646347045898438
Building_171,1,,256,0.010911941528320312
Building_165,2,,257,0.022320032119750977
Building_164,200,,258,3.1089234352111816
Building_165,35,,259,0.45631933212280273
NoHouse,9,,260,0.1666560173034668
Building_164,57,,261,0.8992466926574707
Building_165,12,,262,0.19988751411437988
Building_171,1,,263,0.021823644638061523
NoHouse,1,,264,0.011408090591430664
TaskBuilding_41,20,,265,0.266848087310791
Building_170,31,,266,0.48905515670776367
TaskBuilding_41,15,,267,0.19988751411437988
NoHouse,20,,268,0.3099992275238037
Building_165,42,,269,0.6001601219177246
NoHouse,29,,270,0.4002707004547119
Building_168,20,,271,0.3333115577697754
NoHouse,1,,272,0.021824359893798828
Building_168,3,,273,0.04463911056518555
Building_167,1,,274,0.010912656784057617
NoHouse,28,,275,0.4106874465942383
Building_167,14,,276,0.2217113971710205
Building_155,9,,277,0.11110401153564453
NoHouse,1,,278,0.022319793701171875
Building_155,2,,279,0.04463982582092285
NoHouse,12,,280,0.13292789459228516
Building_167,17,,281,0.3000795841217041
NoHouse,30,,282,0.4885594844818115
Building_166,23,,283,0.3442234992980957
crane_1,2,,284,0.033231258392333984
NoHit,20,,285,0.289168119430542
Building_166,82,,286,1.2429742813110352
NoHit,0.0441439151763916,,287,
Building_164,11,,288,0.15574336051940918
NoHouse,2,,289,0.022319555282592773
Building_150,1,,290,0.011409521102905273
Building_147,1,,291,0.011406660079956055
Building_150,1,,292,0.02182459831237793
Building_147,12,,293,0.1775679588317871
Building_150,4,,294,0.05902385711669922
Building_147,5,,295,0.10812759399414062
NoHouse,15,,296,0.23262357711791992
Building_167,3,,297,0.055552005767822266
NoHouse,2,,298,0.022320270538330078
Building_167,1,,299,0.01091146469116211
NoHouse,3,,300,0.04761624336242676
Building_167,2,,301,0.019344329833984375
NoHouse,46,,302,0.6889421939849854
TaskBuilding_42,7,,303,0.14433598518371582
NoHouse,2,,304,0.033728599548339844
TaskBuilding_42,1,,305,0.011407613754272461
NoHouse,1,,306,0.021824121475219727
TaskBuilding_42,2,,307,0.03323221206665039
NoHouse,1,,308,0.022319555282592773
Building_167,14,,309,0.19988751411437988
NoHouse,1,,310,0.010911941528320312
Building_167,7,,311,0.11159992218017578
NoHouse,1,,312,0.010912179946899414
Building_167,6,,313,0.06646370887756348
NoHouse,2,,314,0.022816181182861328
Building_167,10,,315,0.18847942352294922
NoHouse,1,,316,0.021824121475219727
Building_167,9,,317,0.1666550636291504
TaskBuilding_42,2,,318,0.044640541076660156
NoHouse,2,,319,0.021823883056640625
TaskBuilding_42,19,,320,0.3223996162414551
Building_168,1,,321,0.022319793701171875
Building_167,26,,322,0.42209577560424805
NoHouse,1,,323,0.022319793701171875
Building_167,2,,324,0.0441441535949707
NoHouse,1,,325,0.022320032119750977
Building_168,1,,326,0.022319555282592773
Building_167,1,,327,0.021824359893798828
NoHouse,4,,328,0.055552005767822266
Building_167,1,,329,0.01140737533569336
NoHouse,2,,330,0.022320032119750977
Building_167,7,,331,0.10019230842590332
NoHouse,32,,332,0.5659351348876953
Building_174,1,,333,0.011407852172851562
Building_169,1,,334,0.022319793701171875
Building_174,22,,335,0.37695956230163574
NoHouse,6,,336,0.06696081161499023
TaskBuilding_42,2,,337,0.03323006629943848
NoHouse,3,,338,0.04414510726928711
TaskBuilding_42,1,,339,0.022319793701171875
NoHouse,5,,340,0.09969520568847656
Building_169,42,,341,0.7107672691345215
NoHouse,12,,342,0.15574431419372559
Building_169,17,,343,0.29958343505859375
NoHouse,1,,344,0.022319793701171875
Building_169,53,,345,0.9111506938934326
Building_174,3,,346,0.05505561828613281
NoHouse,22,,347,0.3223998546600342
Building_174,1,,348,0.010911703109741211
NoHouse,17,,349,0.23361563682556152
Building_174,3,,350,0.055552005767822266
Building_169,12,,351,0.2107999324798584
Building_174,2,,352,0.033728599548339844
Building_169,1,,353,0.02182316780090332
NoHouse,10,,354,0.15574383735656738
Building_169,119,,355,1.9661412239074707
NoHouse,10,,356,0.15524792671203613
Building_169,42,,357,0.6988635063171387
NoHouse,32,,358,0.47814297676086426
Building_212,2,,359,0.0441436767578125
NoHouse,27,,360,0.42209529876708984
Building_169,70,,361,1.1333580017089844
NoHouse,5,,362,0.06646418571472168
Building_212,1,,363,0.01140737533569336
NoHouse,3,,364,0.03323221206665039
Building_212,10,,365,0.15524816513061523
NoHouse,2,,366,0.03323221206665039
Building_212,1,,367,0.011407852172851562
NoHouse,1,,368,0.021824121475219727
Building_212,2,,369,0.033727407455444336
NoHouse,3,,370,0.05555224418640137
Building_209,1,,371,0.021823644638061523
Building_174,43,,372,0.6661272048950195
Building_173,2,,373,0.03323197364807129
TaskBuilding_42,40,,374,0.6001591682434082
Building_155,18,,375,0.25543975830078125
crane_1,26,,376,0.39977526664733887
Building_168,20,,377,0.32190370559692383
crane_1,1,,378,0.022319793701171875
NoHit,20,,379,0.2772636413574219
Building_141,1,,380,0.022320032119750977
NoHouse,33,,381,0.47814321517944336
TaskBuilding_42,57,,382,0.9106545448303223
NoHouse,11,,383,0.15524768829345703
Building_173,19,,384,0.3223998546600342
NoHouse,1,,385,0.010911703109741211
Building_174,17,,386,0.266848087310791
Building_212,8,,387,0.15524768829345703
Building_174,1,,388,0.022815942764282227
Building_212,5,,389,0.08779120445251465
Building_198,1,,390,0.02232050895690918
NoHouse,1,,391,0.011408090591430664
TaskBuilding_50,1,,392,0.021823883056640625
NoHouse,15,,393,0.21129560470581055
TaskBuilding_50,2,,394,0.044144392013549805
Building_172,14,,395,0.19988703727722168
NoHouse,27,,396,0.3764631748199463
Building_171,40,,397,0.6021437644958496
NoHouse,2,,398,0.0441434383392334
Building_172,4,,399,0.06696105003356934
NoHouse,1,,400,0.02231907844543457
Building_172,1,,401,0.021823883056640625
NoHouse,1,,402,0.011408090591430664
Building_172,2,,403,0.032735586166381836
NoHouse,2,,404,0.02232050895690918
Building_172,4,,405,0.04464006423950195
NoHouse,1,,406,0.022319793701171875
Building_172,19,,407,0.3109917640686035
NoHouse,37.14433574676514,,408,0.5545270442962646
Building_212,2,,411,0.03323101997375488
NoHouse,4,,412,0.06696105003356934
Building_212,1,,413,0.022320032119750977
NoHouse,16,,414,0.277759313583374
Building_212,9,,415,0.14383935928344727
NoHit,0.011408090591430664,,416,
Building_174,68,,417,1.0887186527252197
NoHouse,64,,418,1.0217585563659668
Building_172,52,,419,0.7886385917663574
NoHouse,33,,420,0.4885597229003906
Building_172,15,,421,0.2227036952972412
NoHouse,16,,422,0.25543951988220215
Building_172,3,,423,0.06646394729614258
NoHouse,50.89875078201294,,424,0.7886385917663574
Building_212,19,,431,0.29958367347717285
Building_209,1,,432,0.022319793701171875
Building_210,32,,433,0.44391918182373047
Building_214,55,,434,0.8451833724975586
NoHit,0.021823644638061523,,435,
Building_212,2,,436,0.03372836112976074
NoHouse,12,,437,0.19939136505126953
Building_212,1,,438,0.021823883056640625
NoHouse,4,,439,0.06051158905029297
Building_199,1,,440,0.016864299774169922
NoHouse,2,,441,0.04464006423950195
TaskBuilding_50,4,,442,0.055552005767822266
NoHouse,7,,443,0.11110401153564453
Building_195,1,,444,0.010911941528320312
NoHouse,1,,445,0.01091146469116211
Building_195,1,,446,0.011408090591430664
NoHouse,74,,447,1.144765853881836
TaskBuilding_46,23,,448,0.37795257568359375
Building_183,1,,449,0.021823644638061523
Building_178,1,,450,0.022319793701171875
NoHouse,31,,451,0.41118288040161133
Building_171,49,,452,0.8417105674743652
Building_172,43,,453,0.6998558044433594
Building_171,44,,454,0.8218698501586914
Building_172,1,,455,0.010912895202636719
NoHouse,15,,456,0.21129536628723145
Building_172,60,,457,0.9443821907043457
TaskBuilding_42,1,,458,0.010912895202636719
Building_172,1,,459,0.01091146469116211
TaskBuilding_42,1,,460,0.011408329010009766
Building_172,52,,461,0.8546063899993896
Building_171,22,,462,0.3333117961883545
TaskBuilding_41,1,,463,0.010911703109741211
Building_171,82,,464,1.3109264373779297
Building_172,22,,465,0.39977526664733887
NoHouse,111,,466,1.7781572341918945
Building_211,1,,467,0.01587200164794922
NoHouse,1,,468,0.016863584518432617
Building_213,2,,469,0.02232074737548828
Building_210,5,,470,0.08878397941589355
NoHouse,3,,471,0.06647658348083496
Building_210,3,,472,0.04462695121765137
NoHouse,17,,473,0.2559356689453125
Building_213,1,,474,0.022319793701171875
NoHouse,3,,475,0.06646418571472168
Building_213,1,,476,0.022319793701171875
NoHouse,1,,477,0.022320270538330078
Building_213,1,,478,0.022319793701171875
NoHouse,26,,479,0.4225912094116211
Building_210,1,,480,0.022320032119750977
Building_213,1,,481,0.022319793701171875
Building_210,29,,482,0.39977574348449707
Building_211,1,,483,0.011407613754272461
Building_214,20,,484,0.29958391189575195
NoHouse,1,,485,0.022320032119750977
Building_220,1,,486,0.022319793701171875
NoHouse,15,,487,0.25444769859313965
TaskBuilding_47,1,,488,0.021824121475219727
NoHouse,4,,489,0.06696152687072754
TaskBuilding_47,2,,490,0.04364609718322754
NoHouse,1,,491,0.022320270538330078
