Edge1,Edge2
TaskBuilding_9,NoHouse
Avatar,TaskBuilding_9
Building_59,Avatar
Avatar,Building_59
NoHouse,Avatar
Avatar,NoHouse
NoHouse,Avatar
Avatar,NoHouse
NoHouse,Avatar
Avatar,NoHouse
Building_65,Avatar
Avatar,Building_65
Building_66,Avatar
Avatar,Building_66
NoHouse,Avatar
Avatar,NoHouse
NoHouse,Avatar
Avatar,NoHouse
NoHouse,Avatar
Avatar,NoHouse
NoHouse,Avatar
TaskBuilding_15,NoHouse
Avatar,TaskBuilding_15
NoHouse,Avatar
Avatar,NoHouse
NoHouse,Avatar
Avatar,NoHouse
NoHouse,Avatar
Avatar,NoHouse
NoHouse,Avatar
Avatar,NoHouse
NoHouse,Avatar
Church-TaskBuilding_16,NoHouse
NoHouse,Church-TaskBuilding_16
Church-TaskBuilding_16,NoHouse
Avatar,Church-TaskBuilding_16
Church-TaskBuilding_16,Avatar
NoHouse,Church-TaskBuilding_16
Avatar,NoHouse
NoHouse,Avatar
Avatar,NoHouse
TaskBuilding_1,Avatar
NoHouse,TaskBuilding_1
Avatar,NoHouse
Church-TaskBuilding_16,Avatar
Avatar,Church-TaskBuilding_16
Church-TaskBuilding_16,Avatar
Avatar,Church-TaskBuilding_16
TaskBuilding_1,Avatar
Avatar,TaskBuilding_1
Building_131,Avatar
Avatar,Building_131
NoHouse,Avatar
Avatar,NoHouse
Building_125,Avatar
Avatar,Building_125
Building_131,Avatar
Avatar,Building_131
NoHouse,Avatar
Avatar,NoHouse
TaskBuilding_20,Avatar
Avatar,TaskBuilding_20
NoHouse,Avatar
Avatar,NoHouse
NoHouse,Avatar
Avatar,NoHouse
NoHouse,Avatar
Avatar,NoHouse
TaskBuilding_21,Avatar
Building_131,TaskBuilding_21
NoHouse,Building_131
Avatar,NoHouse
Building_131,Avatar
Avatar,Building_131
NoHit,Avatar
Avatar,NoHit
Building_131,Avatar
Avatar,Building_131
Building_131,Avatar
Avatar,Building_131
NoHouse,Avatar
Avatar,NoHouse
NoHouse,Avatar
Avatar,NoHouse
NoHouse,Avatar
Avatar,NoHouse
NoHouse,Avatar
Avatar,NoHouse
NoHouse,Avatar
Avatar,NoHouse
NoHouse,Avatar
Avatar,NoHouse
NoHouse,Avatar
Avatar,NoHouse
NoHouse,Avatar
Avatar,NoHouse
NoHouse,Avatar
Avatar,NoHouse
NoHouse,Avatar
Avatar,NoHouse
NoHouse,Avatar
Avatar,NoHouse
NoHouse,Avatar
Avatar,NoHouse
NoHouse,TaskBuilding_9
