Edge1,Edge2
NoHouse,NoHouse
Phone,NoHouse
NoHouse,Phone
Avatar,NoHouse
NoHouse,Avatar
Building_194,NoHouse
NoHouse,Building_194
TaskBuilding_50,NoHouse
TaskBuilding_52,TaskBuilding_50
NoHouse,TaskBuilding_52
Garage_185,NoHouse
NoHouse,Garage_185
Avatar,NoHouse
NoHouse,Avatar
Building_212,NoHouse
TaskBuilding_50,Building_212
NoHit,TaskBuilding_50
NoHouse,NoHit
TaskBuilding_50,NoHouse
NoHouse,TaskBuilding_50
Building_213,NoHouse
TaskBuilding_50,Building_213
Building_198,TaskBuilding_50
Building_202,Building_198
NoHouse,Building_202
Building_209,NoHouse
NoHouse,Building_209
Building_213,NoHouse
Building_199,Building_213
NoHouse,Building_199
Building_209,NoHouse
NoHouse,Building_209
Building_209,NoHouse
NoHouse,Building_209
Building_209,NoHouse
Building_213,Building_209
NoHouse,Building_213
Phone,NoHouse
Building_209,Phone
NoHouse,Building_209
Building_209,NoHouse
NoHouse,Building_209
Building_209,NoHouse
NoHouse,Building_209
Building_209,NoHouse
Building_208,Building_209
NoHouse,Building_208
Building_220,NoHouse
NoHouse,Building_220
Building_220,NoHouse
NoHouse,Building_220
Building_214,NoHouse
NoHouse,Building_214
Building_214,NoHouse
NoHouse,Building_214
Building_232,NoHouse
Building_236,Building_232
Building_154,Building_236
Building_236,Building_154
NoHouse,Building_236
TaskBuilding_48,NoHouse
NoHouse,TaskBuilding_48
Building_222,NoHouse
NoHouse,Building_222
Building_223,NoHouse
NoHouse,Building_223
Building_226,NoHouse
Building_223,Building_226
NoHouse,Building_223
TaskBuilding_7,NoHouse
NoHouse,NoHouse
