PathNumber,ColliderName,Samples,timeDiff,Index
2,TaskBuilding_21,3,0.0441436767578125,725
2,Building_126,8,0.1334240436553955,726
2,Building_131,8,0.14483165740966797,727
2,TaskBuilding_21,1,0.021824359893798828,728
2,Building_125,1,0.011407613754272461,729
2,NoHouse,1,0.010911703109741211,730
2,Building_125,2,0.03323197364807129,731
2,TaskBuilding_21,1,0.011408329010009766,732
2,Building_125,2,0.03323173522949219,733
2,TaskBuilding_21,3,0.04464006423950195,734
2,Building_126,2,0.03273582458496094,735
2,Building_131,2,0.03372836112976074,736
2,Building_126,1,0.021823644638061523,737
2,Building_131,4,0.06745672225952148,738
2,Building_132,1,0.01041555404663086,739
2,NoHouse,20,0.28867149353027344,740
2,Building_228,19,0.25543928146362305,741
2,NoHouse,2,0.044640302658081055,742
2,Building_228,39,0.710270881652832,743
2,NoHouse,27,0.4558234214782715,744
2,Building_133,24,0.39977574348449707,745
2,NoHouse,17,0.2668476104736328,746
2,Building_133,1,0.021823883056640625,747
2,NoHouse,3,0.056047677993774414,748
2,Building_132,1,0.021824359893798828,749
2,NoHouse,1,0.010911941528320312,750
2,Building_132,3,0.03323197364807129,751
2,NoHouse,1,0.011407852172851562,752
2,Building_132,8,0.12201595306396484,753
2,NoHouse,5,0.0892801284790039,754
2,Building_125,9,0.14433574676513672,755
2,NoHouse,1,0.021823644638061523,756
2,Building_125,3,0.06646394729614258,757
2,NoHouse,3,0.04464006423950195,758
2,Building_125,3,0.06646394729614258,759
2,NoHouse,1,0.011408090591430664,760
2,Building_125,6,0.07737588882446289,761
2,Church-TaskBuilding_16,1,0.011407852172851562,762
2,NoHit,6,0.09969568252563477,763
2,Building_125,2,0.022320032119750977,764
2,Church-TaskBuilding_16,4,0.044640302658081055,765
2,NoHouse,1,0.022319555282592773,766
2,Church-TaskBuilding_16,1,0.010912179946899414,767
2,NoHouse,11,0.15574383735656738,768
2,Church-TaskBuilding_16,33,0.4766554832458496,769
2,NoHouse,2,0.022319555282592773,772
2,Church-TaskBuilding_16,4,0.05555248260498047,773
2,NoHouse,1,0.011407852172851562,774
2,Church-TaskBuilding_16,1,0.022320032119750977,775
2,NoHouse,2,0.03323197364807129,776
2,Church-TaskBuilding_16,23,0.37795114517211914,777
2,NoHouse,26,0.4215996265411377,778
2,Building_121,1,0.011408090591430664,779
2,Building_123,26,0.4444155693054199,780
2,Building_118,4,0.07737565040588379,781
2,NoHouse,9,0.1666555404663086,782
2,Building_118,6,0.07787203788757324,783
2,Building_117,1,0.011408329010009766,784
2,Building_118,4,0.06646394729614258,785
2,Building_123,19,0.35463929176330566,786
2,Building_118,1,0.021824121475219727,787
2,NoHouse,11,0.18947172164916992,788
2,Building_83,4,0.06695961952209473,789
2,NoHouse,1,0.010911941528320312,790
2,TaskBuilding_1,1,0.011408090591430664,791
2,Building_121,11,0.18897604942321777,792
2,NoHouse,1,0.021823883056640625,793
2,Building_121,1,0.011408090591430664,794
2,NoHouse,37,0.6438069343566895,795
2,Building_126,5,0.08878397941589355,796
2,Building_127,2,0.022815942764282227,797
2,Building_126,13,0.2440321445465088,798
2,TaskBuilding_21,1,0.022319555282592773,799
2,Building_126,1,0.010912179946899414,800
2,TaskBuilding_21,24,0.3442232608795166,801
2,NoHouse,86,1.366478681564331,802
2,Building_127,15,0.2217116355895996,803
2,NoHouse,56,0.9329745769500732,804
2,Building_128,1,0.010912179946899414,805
2,NoHouse,120,1.8882696628570557,806
2,Building_136,1,0.011408329010009766,807
2,NoHouse,1,0.021823644638061523,808
2,Building_135,18,0.26635193824768066,809
2,Building_136,2,0.03372764587402344,810
2,NoHouse,1,0.010911703109741211,811
2,Building_136,1,0.011408090591430664,812
2,NoHouse,2,0.044144392013549805,813
2,Building_136,5,0.07787179946899414,814
2,NoHouse,88,1.4101262092590332,815
2,Building_136,25,0.3883674144744873,816
2,NoHouse,26,0.36703920364379883,817
2,Building_130,2,0.04464006423950195,818
2,Building_128,6,0.11060810089111328,819
2,Building_130,12,0.19988775253295898,820
2,NoHouse,1,0.022320032119750977,821
2,Building_130,1,0.022320032119750977,822
2,NoHouse,32,0.4890553951263428,823
2,Building_127,8,0.13292813301086426,824
2,Building_126,2,0.022319316864013672,825
2,TaskBuilding_21,14,0.24353623390197754,826
2,Building_125,2,0.033231496810913086,827
2,TaskBuilding_21,1,0.011407852172851562,828
2,Building_125,1,0.010912418365478516,829
2,TaskBuilding_21,1,0.011407613754272461,830
2,Building_125,1,0.022320032119750977,831
2,TaskBuilding_21,1,0.021824121475219727,832
2,Building_125,1,0.022320032119750977,833
2,TaskBuilding_21,11,0.13391971588134766,834
2,Building_125,4,0.06646394729614258,835
2,NoHouse,1,0.011408329010009766,836
2,Building_125,1,0.022319555282592773,837
2,NoHouse,6,0.09969592094421387,838
2,Church-TaskBuilding_16,2,0.022320032119750977,839
2,NoHouse,5,0.08878397941589355,840
2,Church-TaskBuilding_16,1,0.021823883056640625,841
2,NoHouse,7,0.11159992218017578,842
2,NoHit,1,0.010911703109741211,843
2,TaskBuilding_12,1,0.010912418365478516,844
2,NoHouse,2,0.03323173522949219,845
2,TaskBuilding_12,7,0.10019230842590332,846
2,NoHouse,26,0.42209482192993164,847
