SubjectID,PathNum,Condition,Success,VisibleBuildings0,VisibleBuildings1,VisibleBuildings2+
1010,3,A,False,1.0,0.6682606096832038,0.509563658099223
1010,4,A,True,1.0,0.7495755517826825,0.6205432937181664
1010,5,A,True,1.0,0.5982436882546652,0.4659714599341383
1010,6,A,True,0.9871016691957512,0.40591805766312594,0.30538694992412746
1010,7,A,True,0.9973045822102425,0.0,0.0
1010,8,A,True,1.0,0.2319364161849711,0.07442196531791907
1010,9,A,False,1.0,0.45006527415143605,0.2927545691906005
1019,1,B,True,0.999009900990099,0.5881188118811881,0.4534653465346535
1019,2,B,True,0.9807692307692307,0.0,0.0
1019,3,B,True,1.0,0.0,0.0
1019,4,B,True,1.0,0.1263823064770932,0.04897314375987362
1019,5,B,True,0.9985835694050992,0.7620396600566572,0.6388101983002833
1019,6,B,True,0.9554794520547946,0.5993150684931506,0.4509132420091324
1019,7,B,True,1.0,0.8275862068965517,0.6677115987460815
1019,8,B,True,0.8705882352941177,0.7313725490196078,0.5294117647058824
1019,9,B,True,1.0,0.768944099378882,0.5677018633540373
1056,1,B,True,1.0,0.5818965517241379,0.521551724137931
1056,2,B,True,0.9987012987012988,0.0,0.0
1056,3,B,True,1.0,0.0,0.0
1056,4,B,True,0.9871299871299871,0.15186615186615188,0.07464607464607464
1056,5,B,False,0.9976065102920058,0.6711345141215893,0.584968884633796
1056,6,B,True,0.9983633387888707,0.7528641571194763,0.6104746317512275
1056,7,B,True,1.0,0.8931297709923665,0.811704834605598
1056,8,B,False,1.0,0.39529163738580464,0.36331693605059734
1056,9,B,True,1.0,0.8633257403189066,0.8086560364464692
1068,1,A,True,0.9920382165605095,0.4179936305732484,0.321656050955414
1068,2,A,True,0.993963782696177,0.8329979879275654,0.7484909456740443
1068,3,A,True,1.0,0.8397790055248618,0.8066298342541437
1068,4,A,True,0.9895833333333334,0.4505208333333333,0.3125
1068,5,A,False,0.9741935483870968,0.20875576036866358,0.11152073732718894
1068,6,A,True,0.8978102189781022,0.22141119221411193,0.15085158150851583
1068,7,A,True,1.0,0.0,0.0
1068,8,A,True,0.9871194379391101,0.1522248243559719,0.05152224824355972
1068,9,A,False,1.0,0.5488514548238898,0.3445635528330781
1072,1,A,True,1.0,0.6210153482880756,0.5454545454545454
1072,2,A,True,1.0,0.9185840707964602,0.8141592920353983
1072,3,A,True,0.997737556561086,0.7149321266968326,0.6131221719457014
1072,4,A,True,0.9984276729559748,0.4158805031446541,0.3168238993710692
1072,5,A,False,0.9918002236302647,0.39657100260901973,0.268729034662691
1072,6,A,True,1.0,0.27540500736377027,0.21354933726067746
1072,7,A,True,1.0,0.0,0.0
1072,8,A,True,1.0,0.2352168199737188,0.06176084099868594
1072,9,A,True,1.0,0.38967136150234744,0.3004694835680751
1073,1,A,False,0.9964539007092199,0.4226950354609929,0.3
1073,2,A,True,0.9971038477451386,0.17873396772858915,0.14563508481588747
1073,3,A,False,0.9906639004149378,0.44017980636237897,0.37828492392807744
1073,4,A,True,1.0,0.6302521008403361,0.4298642533936652
1073,5,A,True,1.0,0.4444444444444444,0.268733850129199
1073,6,A,True,1.0,0.2958477508650519,0.21280276816608998
1073,7,A,False,0.9990237552879921,0.4018874064432151,0.30751708428246016
1073,8,A,True,0.9895988112927192,0.03194650817236255,0.0
1073,9,A,False,0.9984014615208952,0.5661109842429779,0.4322904772779173
1075,1,B,True,1.0,0.40130151843817785,0.24078091106290672
1075,2,B,True,1.0,0.0024449877750611247,0.0
1075,3,B,True,1.0,0.0,0.0
1075,4,B,True,1.0,0.20437956204379562,0.10766423357664233
1075,5,B,True,1.0,0.8303747534516766,0.7495069033530573
1075,6,B,True,0.9966329966329966,0.8063973063973064,0.6767676767676768
1075,7,B,True,1.0,0.22564424890006285,0.17221873035826524
1075,8,B,True,0.9129464285714286,0.7209821428571429,0.6584821428571429
1075,9,B,True,1.0,0.764525993883792,0.5626911314984709
1077,1,A,True,1.0,0.7333333333333333,0.4893939393939394
1077,2,A,True,0.9876186545604623,0.5253817581510524,0.4081716879900949
1077,3,A,True,1.0,0.9100719424460432,0.7769784172661871
1077,4,A,False,0.9970131421744325,0.5609318996415771,0.46296296296296297
1077,5,A,False,0.9995059288537549,0.3952569169960474,0.24654150197628458
1077,6,A,True,1.0,0.29148936170212764,0.2053191489361702
1077,7,A,True,1.0,0.0,0.0
1077,8,A,True,0.9994869163673679,0.4581836839404823,0.39969214982042073
1077,9,A,True,0.9987562189054726,0.42039800995024873,0.2736318407960199
1079,1,B,True,0.9990176817288802,0.7760314341846758,0.6984282907662083
1079,2,B,True,1.0,0.34388009991673607,0.31557035803497085
1079,3,B,True,1.0,0.0,0.0
1079,4,B,True,1.0,0.5929054054054054,0.4510135135135135
1079,5,B,True,1.0,0.507343124165554,0.37383177570093457
1079,6,B,True,0.9942748091603053,0.8549618320610687,0.7633587786259542
1079,7,B,False,1.0,0.4218921892189219,0.3492849284928493
1079,8,B,False,1.0,0.31433224755700323,0.2779587404994571
1079,9,B,True,1.0,0.40929808568824066,0.35916134913400183
1080,1,A,True,0.9990783410138249,0.647926267281106,0.42857142857142855
1080,2,A,True,1.0,0.9869402985074627,0.9850746268656716
1080,3,A,True,1.0,0.9082125603864735,0.8985507246376812
1080,4,A,False,0.9992082343626286,0.5170229612034838,0.46239113222486145
1080,5,A,False,1.0,0.5002395783421179,0.3799712505989459
1080,6,A,True,1.0,0.31962025316455694,0.23734177215189872
1080,7,A,True,1.0,0.0,0.0
1080,8,A,True,1.0,0.22056833558863329,0.08254397834912043
1080,9,A,False,0.9977507872244714,0.5838956365272154,0.49752586594691856
