SubjectID,Total Rows Combined,Removed Body Hits,Removed Graffiti Hits,Replaced NoHouse Hits,DataLoss BitMask,DataLoss NoHits,DataLoss Combined,Condensed Size,Removed rows,Removed rows (%)
1010,180511,0,2086,13759,0.08757361047249199,0.020192675238628117,0.1077662857111201,13506.0,1176.0,0.08009807928075194
1019,84265,0,3077,19694,0.07074111434166024,0.009197175577048595,0.07993828991870883,5830.0,278.0,0.045514079895219384
1056,156457,0,5091,29574,0.05083824948707952,0.006934812760055479,0.057773062247134986,7822.0,284.0,0.035035775968418455
1068,167436,0,8044,41101,0.08614037602427196,0.010899687044602115,0.09704006306887407,9488.0,530.0,0.05290477141145937
1072,130772,0,10494,52876,0.02738353776037684,0.01147799223075276,0.0388615299911296,8078.0,334.0,0.03970518307180219
1073,267283,0,13851,73558,0.04915389306465432,0.01825031895032606,0.06740421201498037,20688.0,1118.0,0.051270292580023843
1075,94149,0,15747,80614,0.02884789004662822,0.005151408936897896,0.03399929898352611,4911.0,130.0,0.025788534021027574
1077,179894,0,17506,92078,0.10584566466919408,0.0068985068985068995,0.11274417156770095,12597.0,630.0,0.04762984803810388
1079,219452,0,19415,104127,0.03804476605362448,0.0015903249913420702,0.03963509104496655,8803.0,172.0,0.019164345403899722
1080,182838,0,22004,117624,0.10344676708342904,0.0040254214113039965,0.10747218849473304,9923.0,274.0,0.026870648229871532
