PathNumber,ColliderName,Samples,timeDiff,Index
4,House_49,1,0.02232074737548828,2778
4,NoHouse,10,0.15524744987487793,2779
4,House_49,1,0.011408090591430664,2780
4,TaskBuilding_51,14,0.2107992172241211,2781
4,NoHit,2,0.02232050895690918,2786
4,Building_185,20,0.3412473201751709,2787
4,NoHit,1,0.022320032119750977,2788
4,TaskBuilding_51,40,0.4687197208404541,2789
4,Building_185,24,0.3675355911254883,2792
4,Building_188,12,0.21030330657958984,2793
4,Building_185,18,0.2559356689453125,2794
4,NoHouse,4,0.08878397941589355,2795
4,Building_184,1,0.022320032119750977,2796
4,NoHouse,1,0.022320032119750977,2797
4,Building_184,18,0.28867149353027344,2798
4,House_49,1,0.02182936668395996,2799
4,NoHouse,1,0.022315025329589844,2800
4,House_49,1,0.021823406219482422,2801
4,NoHouse,6,0.07787203788757324,2802
4,Garage_185,2,0.03372812271118164,2803
4,NoHouse,4,0.055055856704711914,2804
4,Building_186,1,0.011407852172851562,2805
4,NoHouse,1,0.021824121475219727,2806
4,Building_187,4,0.07836723327636719,2807
4,NoHouse,7,0.09969663619995117,2808
4,Building_186,38,0.5108792781829834,2809
4,NoHouse,28,0.40820741653442383,2810
4,Building_186,1,0.021824121475219727,2811
4,Building_187,7,0.07787203788757324,2812
4,Building_171,1,0.010911941528320312,2813
4,Building_169,1,0.010911941528320312,2814
4,NoHouse,2,0.022320032119750977,2815
4,Building_169,1,0.011408090591430664,2816
4,NoHit,1,0.022320032119750977,2817
4,NoHouse,1,0.010911941528320312,2818
4,NoHit,1,0.011408090591430664,2819
4,Building_171,1,0.021823644638061523,2820
4,NoHouse,1,0.011408567428588867,2821
4,Building_171,5,0.06695961952209473,2822
4,TaskBuilding_52,1,0.01140737533569336,2823
4,NoHouse,1,0.011408805847167969,2824
4,TaskBuilding_52,1,0.011407613754272461,2825
4,NoHouse,3,0.03372812271118164,2826
4,TaskBuilding_52,15,0.24551963806152344,2827
4,NoHouse,1,0.022319793701171875,2828
4,TaskBuilding_52,2,0.032735586166381836,2829
4,NoHouse,2,0.03372836112976074,2830
4,Building_171,5,0.07787203788757324,2831
4,NoHouse,25,0.37795209884643555,2832
4,Building_187,10,0.14433503150939941,2833
4,NoHouse,4,0.06646418571472168,2834
4,Building_171,1,0.022319793701171875,2835
4,NoHouse,4,0.05555224418640137,2836
4,TaskBuilding_41,3,0.044144392013549805,2837
4,NoHouse,4,0.07787108421325684,2838
4,TaskBuilding_41,2,0.04464006423950195,2839
4,NoHouse,14,0.25494384765625,2840
4,Building_171,2,0.03372788429260254,2841
4,NoHouse,10,0.15524816513061523,2842
4,Building_171,1,0.011407852172851562,2843
4,NoHouse,2,0.044144392013549805,2844
4,Building_171,1,0.022319793701171875,2845
4,TaskBuilding_52,16,0.28867149353027344,2846
4,NoHouse,41,0.6542229652404785,2847
4,Building_182,4,0.044640302658081055,2848
4,NoHouse,7,0.12201547622680664,2849
4,Building_173,1,0.011408090591430664,2850
4,NoHouse,2,0.03323173522949219,2851
4,TaskBuilding_50,14,0.18947172164916992,2852
4,NoHouse,1,0.022320270538330078,2853
4,Building_198,13,0.16615986824035645,2854
4,NoHouse,9,0.1334240436553955,2855
4,Building_215,1,0.01140904426574707,2856
4,NoHouse,8,0.11060643196105957,2857
4,Building_212,5,0.07836794853210449,2858
4,NoHouse,1,0.02231884002685547,2859
4,Building_212,6,0.08879256248474121,2860
4,NoHit,2,0.033225297927856445,2861
4,NoHouse,8,0.1433427333831787,2862
4,Building_210,4,0.06696009635925293,2863
4,Building_209,1,0.02182316780090332,2864
4,Building_210,10,0.1666567325592041,2865
4,Building_209,4,0.06646370887756348,2866
4,NoHouse,2,0.03372812271118164,2867
4,TaskBuilding_55,15,0.25543975830078125,2868
4,Building_200,24,0.3551356792449951,2869
4,TaskBuilding_55,1,0.010911703109741211,2870
4,NoHouse,1,0.011408090591430664,2871
4,Building_210,15,0.18947172164916992,2872
4,NoHit,1,0.010912418365478516,2873
4,Building_215,34,0.5669262409210205,2874
4,Building_210,14,0.2762725353240967,2875
4,Building_215,1,0.022320032119750977,2876
4,Building_212,26,0.43300819396972656,2877
4,Building_198,36,0.5341908931732178,2878
4,NoHouse,2,0.03223991394042969,2879
4,Building_198,1,0.011407852172851562,2880
4,TaskBuilding_50,1,0.02232050895690918,2881
4,Building_136,1,0.010911703109741211,2882
4,NoHouse,18,0.22220706939697266,2883
4,Building_187,15,0.21129631996154785,2884
4,NoHouse,6,0.12201571464538574,2885
4,Building_186,2,0.021823883056640625,2886
4,Building_187,2,0.03372812271118164,2887
4,NoHouse,5,0.07787227630615234,2888
4,Building_186,2,0.033231496810913086,2889
4,NoHouse,1,0.011408090591430664,2890
4,Building_186,1,0.022319793701171875,2891
4,NoHouse,2,0.032735586166381836,2892
4,Building_186,1,0.011408567428588867,2893
4,Building_177,1,0.022319793701171875,2894
4,NoHouse,3,0.03323197364807129,2895
4,Building_186,2,0.0441441535949707,2896
4,Building_177,1,0.022320032119750977,2897
4,NoHouse,5,0.11110377311706543,2898
4,Garage_185,2,0.03372907638549805,2899
4,TaskBuilding_51,1,0.021824359893798828,2900
4,NoHouse,12,0.19988608360290527,2901
4,Garage_185,2,0.021824121475219727,2902
4,NoHouse,5,0.055551767349243164,2903
4,TaskBuilding_51,1,0.010912179946899414,2904
4,NoHouse,2,0.02231907844543457,2905
4,Building_185,15,0.244032621383667,2906
4,Garage_185,1,0.011408090591430664,2907
4,TaskBuilding_51,1,0.010911703109741211,2908
4,NoHouse,2,0.022320270538330078,2909
4,House_49,10,0.15524768829345703,2910
4,NoHouse,3,0.03372836112976074,2911
4,Building_185,1,0.01091146469116211,2912
4,Building_188,1,0.010912656784057617,2913
4,Building_189,1,0.010911703109741211,2914
4,Building_188,2,0.022815227508544922,2915
4,Building_189,3,0.044144392013549805,2916
4,Building_188,4,0.07787203788757324,2917
4,Building_189,1,0.010911941528320312,2918
4,Building_188,6,0.08878350257873535,2919
4,Building_189,2,0.033232688903808594,2920
4,Building_188,1,0.011407852172851562,2921
4,Building_189,2,0.03323197364807129,2922
4,Building_188,1,0.01091146469116211,2923
4,Building_185,7,0.10019207000732422,2924
4,NoHouse,7,0.1225121021270752,2925
4,TaskBuilding_51,2,0.04463982582092285,2928
4,NoHouse,2,0.03273510932922363,2929
4,Building_186,2,0.04464101791381836,2930
4,NoHouse,1,0.010911703109741211,2931
4,Building_186,1,0.010911941528320312,2932
4,NoHouse,1,0.011407852172851562,2933
4,Building_186,45,0.7008473873138428,2934
4,Building_180,1,0.010912179946899414,2935
4,Building_186,3,0.03323197364807129,2936
4,Building_180,16,0.24452781677246094,2937
4,Building_186,73,1.1110384464263916,2938
4,Building_180,1,0.021823883056640625,2939
4,Building_186,8,0.12201595306396484,2940
