SubjectID,Condition,Dyadic?,Leader?,SessionID,P1:Success,P1:TimeSec,P1:Time After Guide,P1:Distance Covered,P1:Dist After Fail,P2:Success,P2:TimeSec,P2:Time After Guide,P2:Distance Covered,P2:Dist After Fail,P3:Success,P3:TimeSec,P3:Time After Guide,P3:Distance Covered,P3:Dist After Fail,P4:Success,P4:TimeSec,P4:Time After Guide,P4:Distance Covered,P4:Dist After Fail,P5:Success,P5:TimeSec,P5:Time After Guide,P5:Distance Covered,P5:Dist After Fail,P6:Success,P6:TimeSec,P6:Time After Guide,P6:Distance Covered,P6:Dist After Fail,P7:Success,P7:TimeSec,P7:Time After Guide,P7:Distance Covered,P7:Dist After Fail,P8:Success,P8:TimeSec,P8:Time After Guide,P8:Distance Covered,P8:Dist After Fail,P9:Success,P9:TimeSec,P9:Time After Guide,P9:Distance Covered,P9:Dist After Fail,#Success
1019,B,False,False,NaN,True,121.58542656898499,-210.41457343101501,588.410275257584,0.0,True,104.63661623001099,-278.363383769989,506.17694277467734,0.0,True,47.26084637641907,-104.73915362358093,231.67954127157063,0.0,True,88.05683135986328,-305.9431686401367,424.1465748933522,0.0,True,72.44474053382874,-195.55525946617126,355.47147545807655,0.0,True,106.1489200592041,-225.8510799407959,523.8687448277357,0.0,True,34.392131090164185,-199.60786890983582,171.2491435754715,0.0,True,62.7568724155426,-242.2431275844574,304.2845888911577,0.0,True,126.38968062400818,-173.61031937599182,626.5707168886076,0.0,9
1056,B,False,False,NaN,True,99.18562078475952,-232.81437921524048,474.4069909926665,0.0,True,122.46290183067322,-260.5370981693268,574.2695364448056,0.0,True,51.37320256233215,-100.62679743766785,239.30471215469254,0.0,True,137.26751041412354,-256.73248958587646,592.1920985160609,0.0,False,364.6825304031372,96.6825304031372,1710.4459994050583,477.1447807685822,True,109.27922105789185,-222.72077894210815,525.3669147991417,0.0,True,56.002866983413696,-177.9971330165863,171.71021092944727,0.0,False,376.0364661216736,71.03646612167358,1713.0668316252152,356.67327142366184,True,101.78763699531555,-198.21236300468445,490.77452028663197,0.0,7
1068,A,False,False,NaN,True,129.26834893226624,-170.73165106773376,574.5189545960166,0.0,True,80.99223375320435,-224.00776624679565,354.3832784052583,0.0,True,37.635440826416016,-196.36455917358398,170.2453722987827,0.0,True,129.13839745521545,-202.86160254478455,616.6776030546752,0.0,False,361.80971908569336,93.80971908569336,1710.2585231813464,446.0312862281192,True,87.40153813362122,-306.5984618663788,410.268308007683,0.0,True,84.7137176990509,-67.2862823009491,304.82545413033773,0.0,True,117.31129169464111,-265.6887083053589,553.4955367563939,0.0,False,474.19772028923035,142.19772028923035,2198.9837631165037,698.2737595227252,7
1072,A,False,False,NaN,True,106.8159077167511,-193.1840922832489,528.1771141661624,0.0,True,64.6782956123352,-240.3217043876648,313.20869934358745,0.0,True,54.38284134864807,-179.61715865135193,264.4504571176569,0.0,True,152.04905080795288,-179.95094919204712,748.2202276347917,0.0,False,367.5175528526306,99.51755285263062,1804.5372767211709,496.92660115308905,True,127.48121881484985,-266.51878118515015,630.8562541504393,0.0,True,47.443811893463135,-104.55618810653687,234.89321239899135,0.0,True,113.2802677154541,-269.7197322845459,562.2482103971803,0.0,True,150.5684938430786,-181.4315061569214,670.3133384018288,0.0,8
1073,A,False,False,NaN,False,352.0142276287079,52.014227628707886,1698.3878794466277,255.77564800677743,True,281.9344766139984,-23.065523386001587,1380.78699594731,0.0,False,309.8051760196686,75.80517601966858,1531.3720653861071,375.03872989286396,True,167.31150007247925,-164.68849992752075,810.4901015466297,0.0,True,190.5629596710205,-77.43704032897949,926.5033777999306,0.0,True,134.37863111495972,-259.6213688850403,640.059169563254,0.0,False,375.04794239997864,223.04794239997864,1840.9832140546694,1112.4747626001988,True,175.41712284088135,-207.58287715911865,829.8970085350081,0.0,False,454.0780019760132,122.07800197601318,2196.108474536779,600.5008685467753,5
1075,B,False,False,NaN,True,96.99715423583984,-235.00284576416016,450.54899210207384,0.0,True,103.00519704818726,-279.99480295181274,502.9204494684187,0.0,True,47.65215444564819,-104.3478455543518,229.27241281343953,0.0,True,89.84434628486633,-304.15565371513367,420.28197420881753,0.0,True,73.36377310752869,-194.6362268924713,358.70383271752917,0.0,True,98.39686512947083,-233.60313487052917,483.4317821143316,0.0,True,165.40043711662292,-68.59956288337708,763.9786050807808,0.0,True,58.88009452819824,-246.11990547180176,284.7090576347991,0.0,True,97.31509041786194,-202.68490958213806,476.69439833962116,0.0,9
1077,A,False,False,NaN,True,102.89272499084473,-197.10727500915527,480.4169540159197,0.0,True,259.56772327423096,-45.43227672576904,1189.9077407802931,0.0,True,34.858880281448364,-199.14111971855164,169.50389562731928,0.0,False,482.0782940387726,150.07829403877258,2300.0440058438403,699.0884672732291,False,292.2377579212189,24.237757921218872,1389.755069611559,122.56244045281488,True,130.0809667110443,-263.9190332889557,617.8227008924671,0.0,True,47.74694585800171,-104.25305414199829,230.39365086545854,0.0,True,211.72058534622192,-171.27941465377808,976.3657779622289,0.0,True,100.52432513237,-231.47567486763,467.020851267191,0.0,7
1079,B,False,False,NaN,True,294.374525308609,-37.62547469139099,1409.2642328345405,0.0,True,234.512282371521,-148.487717628479,1078.6487898709222,0.0,True,48.21814584732056,-103.78185415267944,231.9939061437355,0.0,True,125.2479419708252,-268.7520580291748,506.52959135002106,0.0,True,203.93784999847412,-64.06215000152588,941.0783850203915,0.0,True,127.07272624969482,-204.92727375030518,617.0323989112779,0.0,False,310.7122702598572,76.71227025985718,1393.4341578334681,372.61182961225745,False,345.073664188385,40.07366418838501,1600.0800639767697,195.79027896019576,True,274.7383794784546,-25.26162052154541,1269.5999078362477,0.0,7
1080,A,False,False,NaN,True,137.25542664527893,-162.74457335472107,659.4316718207036,0.0,True,70.53160691261292,-234.46839308738708,338.3366323534047,0.0,True,37.42364811897278,-196.57635188102722,170.46995464254,0.0,False,416.26350593566895,84.26350593566895,1979.0026773869763,408.0911687244579,False,287.64392280578613,19.643922805786133,1376.766469348048,99.63449984073355,True,113.86459231376648,-280.1354076862335,520.858785516188,0.0,True,55.05146646499634,-96.94853353500366,240.43424143061026,0.0,True,125.16296219825745,-257.83703780174255,555.6062180124478,0.0,False,432.33289337158203,100.33289337158203,1953.7783914761146,484.89713315205785,6
