hitObjectColliderName,ordinalOfHit,hitObjectColliderBoundsCenter.x,hitObjectColliderBoundsCenter.y,hitObjectColliderBoundsCenter.z,participantId,session_type
thumb_distal,2,-54.437339782714844,-0.3080708682537079,-80.00129699707031,1054,dyadic_leader
PhoneCollider,1,-54.42181396484375,-0.31378626823425293,-79.93598937988281,1054,dyadic_leader
thumb_distal,2,-54.437137603759766,-0.3080475330352783,-80.0011978149414,1054,dyadic_leader
PhoneCollider,1,-54.421722412109375,-0.3137085437774658,-79.93574523925781,1054,dyadic_leader
PhoneCollider,1,-54.421630859375,-0.3136509656906128,-79.93562316894531,1054,dyadic_leader
PhoneCollider,1,-54.42138671875,-0.3133358955383301,-79.93559265136719,1054,dyadic_leader
PhoneCollider,1,-54.421112060546875,-0.3130728006362915,-79.93571472167969,1054,dyadic_leader
PhoneCollider,1,-54.42071533203125,-0.31295347213745117,-79.93600463867188,1054,dyadic_leader
thumb_distal,2,-54.434017181396484,-0.3095000982284546,-80.00218200683594,1054,dyadic_leader
PhoneCollider,1,-54.420562744140625,-0.31283342838287354,-79.93624877929688,1054,dyadic_leader
thumb_distal,2,-54.4336051940918,-0.30973494052886963,-80.0025405883789,1054,dyadic_leader
PhoneCollider,1,-54.42041015625,-0.3126925230026245,-79.93653869628906,1054,dyadic_leader
thumb_distal,2,-54.43305969238281,-0.3098977506160736,-80.00314331054688,1054,dyadic_leader
PhoneCollider,1,-54.42010498046875,-0.31253159046173096,-79.93707275390625,1054,dyadic_leader
thumb_distal,2,-54.43275451660156,-0.31002524495124817,-80.00357818603516,1054,dyadic_leader
PhoneCollider,1,-54.419952392578125,-0.3123894929885864,-79.93748474121094,1054,dyadic_leader
thumb_distal,2,-54.43271255493164,-0.31002891063690186,-80.00386810302734,1054,dyadic_leader
PhoneCollider,1,-54.420074462890625,-0.3121381998062134,-79.93772888183594,1054,dyadic_leader
PhoneCollider,1,-54.42010498046875,-0.311850905418396,-79.93812561035156,1054,dyadic_leader
PhoneCollider,1,-54.420257568359375,-0.3117772340774536,-79.93888854980469,1054,dyadic_leader
pavement_X.002,1,-30.427635192871094,-3.1301469802856445,-104.6248779296875,1054,dyadic_leader
scaffold_base_02_LOD0,2,-50.903167724609375,-1.552563190460205,-85.54100799560547,1054,dyadic_leader
Building_141,1,-30.39999771118164,4.391777992248535,-82.76000213623047,1054,dyadic_leader
terrain_X.001,2,-30.849594116210938,-3.185666084289551,-104.6392593383789,1054,dyadic_leader
scaffold_base_02_LOD0,1,-50.90315246582031,1.0725829601287842,-85.54102325439453,1054,dyadic_leader
Building_142,2,-28.920000076293945,1.3520984649658203,-122.44000244140625,1054,dyadic_leader
scaffold_topboard_01_LOD0,1,-41.11720275878906,-0.4754989743232727,-98.42574310302734,1054,dyadic_leader
scaffold_base_02_LOD0,2,-41.301029205322266,-1.5525637865066528,-98.23681640625,1054,dyadic_leader
Building_228,2,49.59001541137695,0.14548206329345703,-247.80999755859375,1054,dyadic_leader
Female_063_NoHands,1,-54.677303314208984,-0.5447769165039062,-80.8599624633789,1054,dyadic_leader
CollisionObject1,2,-27.74178695678711,2.2287726402282715,-169.7857666015625,1054,dyadic_leader
Female_063_NoHands,1,-54.677207946777344,-0.5447765588760376,-80.86031341552734,1054,dyadic_leader
TaskBuilding_36,2,-51.155738830566406,4.593470573425293,-142.6034393310547,1054,dyadic_leader
Female_063_NoHands,1,-54.67715835571289,-0.544776201248169,-80.86048889160156,1054,dyadic_leader
CollisionObject1,2,-58.07902526855469,3.8261327743530273,-126.856689453125,1054,dyadic_leader
Female_063_NoHands,1,-54.6771125793457,-0.5447757244110107,-80.86066436767578,1054,dyadic_leader
Building_140,2,-65.2496337890625,3.0502817630767822,-111.2867202758789,1054,dyadic_leader
Female_063_NoHands,1,-54.67706298828125,-0.5447747707366943,-80.86083984375,1054,dyadic_leader
Female_063_NoHands,1,-54.67692947387695,-0.5447744131088257,-80.86101531982422,1054,dyadic_leader
Female_063_NoHands,1,-54.676795959472656,-0.5447752475738525,-80.86119079589844,1054,dyadic_leader
Female_063_NoHands,1,-54.67652893066406,-0.5447747707366943,-80.86154174804688,1054,dyadic_leader
Female_063_NoHands,1,-54.676395416259766,-0.5447752475738525,-80.8617172241211,1054,dyadic_leader
Female_063_NoHands,1,-54.67626190185547,-0.5447750091552734,-80.86189270019531,1054,dyadic_leader
Female_063_NoHands,1,-54.675994873046875,-0.5447752475738525,-80.86223602294922,1054,dyadic_leader
Female_063_NoHands,1,-54.675621032714844,-0.5447746515274048,-80.862548828125,1054,dyadic_leader
Building_139,2,-68.97200012207031,4.205574989318848,-137.1458740234375,1054,dyadic_leader
CollisionObject1,1,-81.87007141113281,4.468771934509277,-124.52388763427734,1054,dyadic_leader
Building_232,2,-103.883544921875,1.7444229125976562,-155.8984832763672,1054,dyadic_leader
CollisionObject1,1,-173.3013458251953,4.308772563934326,-214.62026977539062,1054,dyadic_leader
terrain_C.001,2,-491.456298828125,18.698455810546875,-597.8446044921875,1054,dyadic_leader
Graffity_45,1,-150.8860626220703,3.1719207763671875,-195.9801025390625,1054,dyadic_leader
TaskBuilding_45,2,-153.61904907226562,5.415101051330566,-203.0352783203125,1054,dyadic_leader
CollisionObject0,2,-173.19329833984375,2.1766357421875,-214.7864227294922,1054,dyadic_leader
scaffold_base_02_LOD0,1,-113.89390563964844,-0.6277104616165161,-150.19207763671875,1054,dyadic_leader
scaffold_topboard_01_LOD0,2,-118.1424560546875,0.449354350566864,-154.8636932373047,1054,dyadic_leader
Building_233,2,-114.06099700927734,4.788448333740234,-170.7031707763672,1054,dyadic_leader
terrain_M.001,2,-115.35101318359375,-2.7764885425567627,-165.64956665039062,1054,dyadic_leader
pavement_M.002,1,-115.47975158691406,-2.376523017883301,-166.4761199951172,1054,dyadic_leader
Body,1,-91.80999755859375,-1.3844234943389893,-136.2100067138672,1054,dyadic_leader
scaffold_base_02_LOD0,1,-117.96501922607422,1.9974356889724731,-154.6687469482422,1054,dyadic_leader
scaffold_base_02_LOD0,2,-117.96503448486328,-0.6277104616165161,-154.6687469482422,1054,dyadic_leader
scaffold_base_02_LOD0,1,-113.89389038085938,1.9974356889724731,-150.19207763671875,1054,dyadic_leader
Wall,2,-161.53652954101562,-1.623590350151062,-211.75315856933594,1054,dyadic_leader
scaffold_base_02_LOD0,1,-118.74600982666016,-1.1377098560333252,-158.61781311035156,1054,dyadic_leader
scaffold_base_02_LOD0,2,-122.75682067871094,-1.1377098560333252,-163.17330932617188,1054,dyadic_leader
scaffold_base_02_LOD0,2,-118.7459945678711,1.487436294555664,-158.61781311035156,1054,dyadic_leader
scaffold_base_02_LOD0,2,-122.75680541992188,1.487436294555664,-163.17330932617188,1054,dyadic_leader
CollisionObject2,1,-173.2407684326172,10.760047912597656,-214.71490478515625,1054,dyadic_leader
scaffold_base_02_LOD0,1,-117.97293090820312,4.6122894287109375,-154.6707763671875,1054,dyadic_leader
