hitObjectColliderName,ordinalOfHit,hitObjectColliderBoundsCenter.x,hitObjectColliderBoundsCenter.y,hitObjectColliderBoundsCenter.z,participantId,session_type
Sphere (2),2,-56.14006423950195,-0.29898601770401,-80.09135437011719,1008,single
Sphere (2),1,-56.140193939208984,-0.2987629175186157,-80.09129333496094,1008,single
Sphere (3),2,-56.15407943725586,-0.33374154567718506,-80.08393859863281,1008,single
Sphere (2),1,-56.140201568603516,-0.29867199063301086,-80.09127807617188,1008,single
Sphere (3),2,-56.15407943725586,-0.33365485072135925,-80.08390808105469,1008,single
Sphere (2),1,-56.140316009521484,-0.29849207401275635,-80.09123992919922,1008,single
Sphere (3),2,-56.15420913696289,-0.3334600627422333,-80.08385467529297,1008,single
Sphere (2),1,-56.1403694152832,-0.29836106300354004,-80.09124755859375,1008,single
Sphere (3),2,-56.154258728027344,-0.3333255350589752,-80.08382415771484,1008,single
Sphere (2),1,-56.14038848876953,-0.29822349548339844,-80.09127807617188,1008,single
Sphere (3),2,-56.154296875,-0.333168625831604,-80.08378601074219,1008,single
Sphere (2),1,-56.140403747558594,-0.29824426770210266,-80.09131622314453,1008,single
Sphere (3),2,-56.154327392578125,-0.33317697048187256,-80.08380126953125,1008,single
Sphere (2),1,-56.14044952392578,-0.2983160614967346,-80.0913314819336,1008,single
Sphere (3),2,-56.15436935424805,-0.33323532342910767,-80.08374786376953,1008,single
Sphere (2),1,-56.140357971191406,-0.29832926392555237,-80.09129333496094,1008,single
Sphere (3),2,-56.154300689697266,-0.3332374691963196,-80.08369445800781,1008,single
Sphere (2),1,-56.14047622680664,-0.29851019382476807,-80.09137725830078,1008,single
Sphere (3),2,-56.154415130615234,-0.3334084451198578,-80.08375549316406,1008,single
PhoneCollider,1,-56.118011474609375,-0.2811756730079651,-80.06529998779297,1008,single
Sphere (2),2,-56.14056396484375,-0.2985880672931671,-80.09138488769531,1008,single
Sphere (2),1,-56.14067077636719,-0.29864683747291565,-80.09139251708984,1008,single
Sphere (3),2,-56.1546630859375,-0.33350977301597595,-80.08369445800781,1008,single
PhoneCollider,1,-56.11811828613281,-0.2813261151313782,-80.06536865234375,1008,single
Sphere (2),2,-56.140689849853516,-0.2987769842147827,-80.09146118164062,1008,single
PhoneCollider,1,-56.118072509765625,-0.28171783685684204,-80.06547546386719,1008,single
Sphere (2),2,-56.140621185302734,-0.29927414655685425,-80.09143829345703,1008,single
PhoneCollider,1,-56.117889404296875,-0.2820736765861511,-80.06549835205078,1008,single
Sphere (2),2,-56.140472412109375,-0.29966649413108826,-80.09138488769531,1008,single
Sphere (2),1,-56.14028549194336,-0.30006086826324463,-80.09114837646484,1008,single
Sphere (3),2,-56.15450668334961,-0.3347408175468445,-80.08309173583984,1008,single
PhoneCollider,1,-56.11750793457031,-0.28269606828689575,-80.06536865234375,1008,single
Sphere (2),2,-56.14020919799805,-0.30028799176216125,-80.0910415649414,1008,single
PhoneCollider,1,-56.11732482910156,-0.2829594016075134,-80.06533813476562,1008,single
Sphere (2),2,-56.14006042480469,-0.3004811406135559,-80.09098815917969,1008,single
PhoneCollider,1,-56.117095947265625,-0.28320449590682983,-80.06533813476562,1008,single
Sphere (2),2,-56.1398811340332,-0.30070844292640686,-80.09093475341797,1008,single
PhoneCollider,1,-56.116455078125,-0.2838020920753479,-80.0653076171875,1008,single
Sphere (2),2,-56.13939666748047,-0.301138699054718,-80.09087371826172,1008,single
PhoneCollider,1,-56.11570739746094,-0.28438013792037964,-80.06535339355469,1008,single
Sphere (2),2,-56.13867950439453,-0.3016182780265808,-80.09081268310547,1008,single
pavement_W.002,1,-98.11416625976562,-0.5362731218338013,-72.00784301757812,1008,single
road_base_network.004,2,39.25787353515625,-4.40830135345459,51.76885986328125,1008,single
pavement_X.002,1,-30.427635192871094,-3.1301469802856445,-104.6248779296875,1008,single
terrain_X.001,2,-30.849594116210938,-3.185666084289551,-104.6392593383789,1008,single
scaffold_base_02_LOD0,1,-46.643165588378906,-1.552563190460205,-81.3910140991211,1008,single
Building_141,2,-30.39999771118164,4.391777992248535,-82.76000213623047,1008,single
Building_143,2,-2.813784599304199,2.9178779125213623,-90.6837387084961,1008,single
Fence_3,2,33.15829849243164,-3.552233934402466,-102.49188995361328,1008,single
scaffold_base_02_LOD0,2,-11.068842887878418,-1.5525636672973633,-80.23743438720703,1008,single
Building_122,2,121.27025604248047,5.900312423706055,-75.8892822265625,1008,single
Fence_26,2,17.43255615234375,-1.8382890224456787,-63.10382080078125,1008,single
scaffold_topboard_01_LOD0,1,-46.45424270629883,-0.4754990339279175,-81.20719146728516,1008,single
scaffold_base_02_LOD0,2,-42.25516891479492,-1.552563190460205,-77.11946868896484,1008,single
scaffold_base_02_LOD0,1,-37.91318130493164,-1.552563190460205,-72.89099884033203,1008,single
Building_145,1,13.617242813110352,4.364901542663574,-44.695030212402344,1008,single
scaffold_base_02_LOD0,1,-29.363182067871094,-0.6877098083496094,-64.56099700927734,1008,single
Wall_1,2,265.4929504394531,-0.48137301206588745,78.42586517333984,1008,single
Bus_stop_v1 (1),1,23.489999771118164,0.6366276741027832,-6.409999847412109,1008,single
pileOfSand_LOD0,2,47.643714904785156,0.9250063896179199,15.477239608764648,1008,single
TaskBuilding_26,1,86.7345199584961,5.826373100280762,43.92089080810547,1008,single
Building_97,2,104.72164154052734,6.155435562133789,62.48524856567383,1008,single
CollisionObject1,1,23.314342498779297,3.6709890365600586,-2.04705810546875,1008,single
Fence_33,2,49.18626403808594,-0.039898037910461426,19.687973022460938,1008,single
Building_147,1,-10.472625732421875,4.151418209075928,-10.492671966552734,1008,single
TaskBuilding_31,2,5.937710762023926,5.0466389656066895,-0.4098975658416748,1008,single
terrain_V.001,1,-26.767532348632812,-0.44442272186279297,6.810783386230469,1008,single
CollisionObject1,1,-0.5779807567596436,3.3217105865478516,-16.304838180541992,1008,single
pavement_Vb.003,1,-27.476837158203125,-0.4445507526397705,7.790306091308594,1008,single
Building_101,1,29.17999267578125,9.017884254455566,109.73999786376953,1008,single
CollisionObject1,2,39.09774398803711,6.263524055480957,128.3690185546875,1008,single
Building_150,1,-31.220001220703125,4.338981628417969,4.139999866485596,1008,single
Building_149,2,-13.739566802978516,6.079746246337891,26.662128448486328,1008,single
Building_152,1,-50.97449493408203,4.960152626037598,-40.93037033081055,1008,single
Building_151,2,-38.47553253173828,4.9075188636779785,16.264108657836914,1008,single
CollisionObject1,2,-54.81553268432617,6.887791633605957,19.13235855102539,1008,single
CollisionObject1,1,-77.03050231933594,6.887791633605957,10.271749496459961,1008,single
CollisionObject2,2,-76.91980743408203,13.339066505432129,10.252462387084961,1008,single
Building_166,1,-92.34432220458984,10.470218658447266,27.73042106628418,1008,single
Building_164,2,-100.92396545410156,7.856134414672852,54.49261474609375,1008,single
CollisionObject2,1,-131.54428100585938,14.747114181518555,43.23480224609375,1008,single
CollisionObject2,1,-123.15426635742188,14.747114181518555,33.764801025390625,1008,single
Building_167,1,-114.7021484375,5.382205009460449,12.18446159362793,1008,single
CollisionObject1,2,-123.11225891113281,8.295839309692383,33.869014739990234,1008,single
TaskBuilding_41,2,-141.29397583007812,8.494577407836914,61.51132583618164,1008,single
scaffold_topboard_01_LOD0,1,-109.59765625,8.464500427246094,11.222541809082031,1008,single
scaffold_base_02_LOD0,1,-109.8043212890625,7.3874359130859375,11.058908462524414,1008,single
crane_1,1,-86.88899993896484,19.279701232910156,-28.867095947265625,1008,single
Building_169,2,-134.3769989013672,9.026198387145996,23.312421798706055,1008,single
Building_171,1,-157.22000122070312,11.872751235961914,46.880001068115234,1008,single
building02_LOD0,2,-157.22000122070312,11.872749328613281,46.880001068115234,1008,single
CollisionObject2,1,-189.39427185058594,14.830047607421875,61.21480178833008,1008,single
crane_1,1,-113.04850769042969,8.412662506103516,-20.88999366760254,1008,single
TaskBuilding_42,2,-134.2724151611328,6.724177360534668,-4.5477094650268555,1008,single
Building_172,2,-169.58494567871094,7.383029937744141,23.406658172607422,1008,single
CollisionObject1,2,-211.00225830078125,8.378772735595703,42.85901641845703,1008,single
Graffity_42,1,-130.09605407714844,5.708400726318359,-7.004214763641357,1008,single
Body,1,-72.07415771484375,0.23645401000976562,-51.87812423706055,1008,single
CollisionObject1,1,-154.5122528076172,8.295839309692383,19.069015502929688,1008,single
Building_168,2,-121.5637435913086,5.427870750427246,6.17769193649292,1008,single
scaffold_base_02_LOD0,1,-109.81236267089844,4.772582054138184,11.058189392089844,1008,single
CollisionObject1,2,-131.50225830078125,8.295839309692383,43.33901596069336,1008,single
CollisionObject1,2,-168.15225219726562,8.378772735595703,83.3590087890625,1008,single
pileOfSand_LOD0,1,-75.8492660522461,1.306060791015625,-19.424253463745117,1008,single
pileOfSand_LOD0,2,-76.23567199707031,1.5281085968017578,-18.85238265991211,1008,single
pileOfClay_LOD0,1,-71.70138549804688,0.7398930788040161,-26.238296508789062,1008,single
pileOfClay_LOD0,2,-71.9696044921875,0.7398933172225952,-26.508819580078125,1008,single
Body,1,-64.90582275390625,0.46114829182624817,-38.37307357788086,1008,single
Fence_30,2,-13.98161506652832,0.505048394203186,10.851526260375977,1008,single
Wall,2,-13.654376983642578,0.7324020862579346,11.160642623901367,1008,single
V_new_roads.002,1,-19.022354125976562,-0.2630217671394348,2.2883262634277344,1008,single
